日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,17°,11°,阴~雷阵雨,东南风3级,48 优
2024-06-02 周日,14°,10°,阴~多云,东北风1级,30 优
2024-06-03 周一,16°,12°,阴~雷阵雨,东南风3级,26 优
2024-06-04 周二,18°,11°,阴~晴,东南风2级,28 优
2024-06-05 周三,25°,14°,晴,西南风2级,34 优
2024-06-06 周四,13°,9°,中雨~多云,东南风2级,34 优
2024-06-07 周五,22°,12°,晴~多云,东北风2级,39 优
2024-06-08 周六,20°,9°,阴~晴,东南风2级,40 优
2024-06-09 周日,23°,13°,阴~晴,东南风3级,34 优
2024-06-10 周一,25°,15°,阴~多云,北风1级,34 优
2024-06-11 周二,28°,15°,多云~晴,西风2级,41 优
2024-06-12 周三,29°,17°,阴~多云,东北风1级,42 优
2024-06-13 周四,27°,15°,阴~多云,西南风2级,42 优
2024-06-14 周五,26°,13°,阴~晴,西北风1级,48 优
2024-06-15 周六,27°,15°,阴~雷阵雨,东南风3级,52 良
2024-06-16 周日,22°,13°,雷阵雨~多云,西南风2级,38 优
2024-06-17 周一,25°,15°,多云,东南风3级,36 优
2024-06-18 周二,25°,15°,多云,东南风1级,36 优
2024-06-19 周三,27°,16°,阴~雷阵雨,东南风2级,33 优
2024-06-20 周四,24°,11°,小雨,北风2级,34 优
2024-06-21 周五,23°,13°,阴~晴,北风3级,35 优
2024-06-22 周六,25°,14°,晴,西北风2级,39 优
2024-06-23 周日,25°,11°,晴,西北风3级,43 优
2024-06-24 周一,25°,13°,多云~晴,东北风2级,38 优
2024-06-25 周二,28°,14°,多云~晴,东南风3级,40 优
2024-06-26 周三,26°,14°,多云,南风3级,37 优
2024-06-27 周四,26°,15°,多云,东南风2级,32 优
2024-06-28 周五,24°,15°,小雨~多云,西风2级,25 优
2024-06-29 周六,25°,13°,小雨~阴,西南风2级,42 优
2024-06-30 周日,14°,12°,中雨~多云,西北风2级,28 优
