日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,26°,11°,阴~小雨,西风2级,32 优
2024-09-02 周一,20°,8°,阴~晴,西风4级,32 优
2024-09-03 周二,20°,8°,多云~晴,西南风1级,26 优
2024-09-04 周三,26°,12°,晴~多云,东风2级,26 优
2024-09-05 周四,26°,12°,阴~多云,东风1级,34 优
2024-09-06 周五,17°,11°,小雨,西北风2级,69 良
2024-09-07 周六,17°,7°,中雨~晴,西风4级,25 优
2024-09-08 周日,19°,8°,晴,东北风1级,23 优
2024-09-09 周一,23°,8°,晴,东北风1级,26 优
2024-09-10 周二,23°,9°,阴~多云,东北风1级,30 优
2024-09-11 周三,21°,10°,阴~小雨,西南风1级,27 优
2024-09-12 周四,21°,8°,多云,西南风3级,25 优
2024-09-13 周五,15°,4°,多云~晴,西南风2级,23 优
2024-09-14 周六,17°,6°,晴,西南风1级,25 优
2024-09-15 周日,21°,8°,晴,东风1级,29 优
2024-09-16 周一,23°,8°,晴,西风1级,27 优
2024-09-17 周二,22°,3°,多云~晴,西南风2级,30 优
2024-09-18 周三,17°,3°,晴,南风1级,28 优
2024-09-19 周四,24°,7°,晴,东南风3级,35 优
2024-09-20 周五,27°,12°,多云,东南风2级,35 优
2024-09-21 周六,24°,12°,阴~晴,西风1级,36 优
2024-09-22 周日,24°,12°,阴~晴,西南风1级,33 优
2024-09-23 周一,25°,10°,阴~晴,西北风1级,33 优
2024-09-24 周二,25°,8°,阴~多云,西风2级,28 优
2024-09-25 周三,22°,11°,阴~多云,西南风1级,31 优
2024-09-26 周四,12°,2°,阴~晴,西南风2级,29 优
2024-09-27 周五,12°,0°,多云~晴,西南风1级,30 优
2024-09-28 周六,10°,1°,晴,西风1级,29 优
2024-09-29 周日,14°,3°,晴,东风2级,34 优
2024-09-30 周一,18°,3°,浮尘~晴,东南风3级,53 良
