日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,24°,9°,阴~晴,西北风2级,21 优
2024-09-02 周一,26°,10°,多云~晴,西风3级,22 优
2024-09-03 周二,30°,12°,多云,西南风3级,23 优
2024-09-04 周三,19°,6°,阴~晴,西北风3级,21 优
2024-09-05 周四,22°,5°,多云,西北风3级,20 优
2024-09-06 周五,22°,5°,多云~晴,西北风3级,23 优
2024-09-07 周六,24°,4°,晴~多云,西北风2级,24 优
2024-09-08 周日,24°,12°,多云,西南风1级,23 优
2024-09-09 周一,22°,7°,小雨~晴,西南风4级,33 优
2024-09-10 周二,21°,3°,阴~晴,西风4级,26 优
2024-09-11 周三,25°,2°,多云~晴,西北风4级,21 优
2024-09-12 周四,18°,1°,阴~晴,西北风2级,23 优
2024-09-13 周五,17°,1°,晴,西北风2级,23 优
2024-09-14 周六,20°,0°,阴~晴,西北风2级,22 优
2024-09-15 周日,23°,5°,多云,西风2级,26 优
2024-09-16 周一,21°,4°,阴~晴,西北风2级,23 优
2024-09-17 周二,21°,5°,晴~阵雨,西北风3级,25 优
2024-09-18 周三,17°,2°,多云,西北风2级,20 优
2024-09-19 周四,16°,-1°,阴~晴,西北风2级,17 优
2024-09-20 周五,15°,-5°,晴,西北风2级,20 优
2024-09-21 周六,19°,-3°,多云~晴,西风2级,24 优
2024-09-22 周日,19°,-1°,多云,西风2级,24 优
2024-09-23 周一,19°,2°,阴~晴,西南风2级,24 优
2024-09-24 周二,20°,3°,阴~多云,东北风1级,21 优
2024-09-25 周三,21°,3°,多云~晴,东北风2级,24 优
2024-09-26 周四,21°,2°,晴~多云,南风2级,30 优
2024-09-27 周五,21°,8°,阴~小雨,南风3级,33 优
2024-09-28 周六,12°,7°,小雨,南风1级,27 优
2024-09-29 周日,4°,1°,小雨~中雨,东北风3级,22 优
2024-09-30 周一,10°,-7°,阴~晴,西北风3级,20 优
