日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,0°,-18°,晴,西南风2级,-
2023-12-02 周六,3°,-15°,阴~晴,西风1级,-
2023-12-03 周日,7°,-13°,晴,西南风2级,-
2023-12-04 周一,7°,-8°,多云~晴,西南风2级,-
2023-12-05 周二,10°,-11°,晴,西南风3级,-
2023-12-06 周三,4°,-7°,多云~晴,西南风4级,-
2023-12-07 周四,12°,-8°,晴,西南风3级,-
2023-12-08 周五,13°,-8°,多云~晴,西南风3级,-
2023-12-09 周六,7°,-9°,多云,东北风2级,-
2023-12-10 周日,2°,-10°,阴~小雪,东南风2级,-
2023-12-11 周一,-2°,-14°,雾~晴,南风2级,-
2023-12-12 周二,-2°,-10°,雾~小雪,南风2级,-
2023-12-13 周三,-3°,-10°,小雪,东南风2级,-
2023-12-14 周四,-4°,-18°,中雪~小雪,东南风2级,-
2023-12-15 周五,-13°,-27°,阴~晴,西北风3级,-
2023-12-16 周六,-15°,-30°,阴~晴,西北风3级,-
2023-12-17 周日,-11°,-25°,阴~晴,南风1级,-
2023-12-18 周一,-6°,-25°,阴~晴,西南风2级,-
2023-12-19 周二,-14°,-31°,多云~晴,西北风3级,-
2023-12-20 周三,-15°,-33°,阴~晴,西北风3级,-
2023-12-21 周四,-15°,-30°,阴~晴,西南风2级,-
2023-12-22 周五,-12°,-27°,阴~小雪,西南风1级,-
2023-12-23 周六,-11°,-24°,阴~晴,西北风1级,-
2023-12-24 周日,-6°,-24°,阴~晴,西南风2级,-
2023-12-25 周一,-1°,-20°,雾~多云,西南风1级,-
2023-12-26 周二,-1°,-20°,多云~晴,北风1级,-
2023-12-27 周三,-2°,-19°,多云~晴,西南风1级,-
2023-12-28 周四,0°,-17°,阴~晴,西北风1级,-
2023-12-29 周五,0°,-17°,雾~小雪,西南风1级,-
2023-12-30 周六,-1°,-18°,雾~晴,西北风2级,-
2023-12-31 周日,-2°,-18°,晴~多云,东北风微风,62 良
