日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,21°,13°,阴~小雨,东风1级,29 优
2024-05-02 周四,15°,14°,小雨,东北风1级,42 优
2024-05-03 周五,16°,14°,小雨~中雨,东北风1级,42 优
2024-05-04 周六,18°,14°,小雨,东风1级,29 优
2024-05-05 周日,27°,17°,阴,西南风1级,25 优
2024-05-06 周一,26°,18°,阴,西南风1级,31 优
2024-05-07 周二,29°,17°,阴~多云,东风2级,39 优
2024-05-08 周三,30°,19°,雾~阴,东风2级,53 良
2024-05-09 周四,29°,17°,阴~小雨,西北风1级,58 良
2024-05-10 周五,27°,19°,小雨~中雨,西南风1级,53 良
2024-05-11 周六,28°,19°,阴,东风2级,54 良
2024-05-12 周日,28°,18°,阴~晴,西风1级,58 良
2024-05-13 周一,33°,17°,多云~晴,西南风1级,47 优
2024-05-14 周二,33°,15°,阴~小雨,西南风1级,46 优
2024-05-15 周三,34°,19°,阴~晴,东北风2级,63 良
2024-05-16 周四,32°,18°,雾~阴,西南风1级,70 良
2024-05-17 周五,32°,19°,阴,西南风2级,48 优
2024-05-18 周六,28°,20°,阴~小雨,南风1级,37 优
2024-05-19 周日,23°,19°,阴~小雨,东北风2级,30 优
2024-05-20 周一,22°,19°,小雨,东北风1级,29 优
2024-05-21 周二,29°,19°,阴~小雨,东北风2级,39 优
2024-05-22 周三,32°,19°,阴~小雨,东风1级,46 优
2024-05-23 周四,34°,21°,阴~晴,西南风1级,42 优
2024-05-24 周五,36°,22°,阴~晴,南风1级,36 优
2024-05-25 周六,36°,23°,阴,南风1级,36 优
2024-05-26 周日,33°,22°,阴~小雨,西南风1级,34 优
2024-05-27 周一,28°,20°,阴~晴,东北风2级,31 优
2024-05-28 周二,30°,19°,阴~多云,东北风3级,52 良
2024-05-29 周三,21°,18°,中雨~大雨,东北风1级,34 优
2024-05-30 周四,21°,17°,中雨~阴,东风1级,30 优
2024-05-31 周五,30°,19°,阴~晴,东北风1级,31 优
