日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,21°,5°,晴,西南风2级,-
2023-12-02 周六,21°,8°,阴~多云,西南风2级,-
2023-12-03 周日,19°,4°,阴~多云,西南风2级,-
2023-12-04 周一,18°,5°,阴~多云,西南风2级,-
2023-12-05 周二,19°,6°,阴,西南风2级,-
2023-12-06 周三,15°,9°,阴~多云,东北风1级,-
2023-12-07 周四,11°,10°,小雨,南风1级,-
2023-12-08 周五,18°,9°,中雨~多云,西南风1级,-
2023-12-09 周六,19°,5°,阴~多云,西南风2级,-
2023-12-10 周日,19°,3°,多云~晴,西南风2级,-
2023-12-11 周一,18°,5°,多云~晴,西南风2级,-
2023-12-12 周二,18°,7°,晴~多云,西南风2级,-
2023-12-13 周三,18°,11°,小雨~中雨,西南风2级,-
2023-12-14 周四,16°,4°,多云,西南风2级,-
2023-12-15 周五,18°,3°,多云~晴,西南风2级,-
2023-12-16 周六,17°,3°,晴,西南风2级,-
2023-12-17 周日,19°,4°,多云~晴,西南风2级,-
2023-12-18 周一,18°,5°,多云~晴,西南风2级,-
2023-12-19 周二,19°,0°,多云~晴,西南风2级,-
2023-12-20 周三,17°,1°,晴,东南风微风,-
2023-12-21 周四,16°,3°,雾~晴,西南风1级,-
2023-12-22 周五,17°,5°,晴~多云,西南风1级,-
2023-12-23 周六,16°,5°,阴~阵雨,东南风1级,-
2023-12-24 周日,14°,5°,阴~多云,东南风1级,-
2023-12-25 周一,14°,3°,阴~晴,西南风2级,-
2023-12-26 周二,14°,2°,多云~晴,西南风1级,-
2023-12-27 周三,15°,2°,多云~晴,西南风2级,-
2023-12-28 周四,16°,2°,雾~多云,西南风2级,-
2023-12-29 周五,16°,0°,多云,西南风2级,-
2023-12-30 周六,15°,0°,晴,西南风1级,-
2023-12-31 周日,15°,1°,晴,西南风2级,30 优
