日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,12°,7°,多云~阵雨,东南风3级,51 良
2024-04-02 周二,11°,8°,多云,东风4级,51 良
2024-04-03 周三,12°,7°,阴~多云,北风5级,52 良
2024-04-04 周四,12°,5°,多云~晴,北风3级,60 良
2024-04-05 周五,15°,9°,阴~晴,西南风3级,55 良
2024-04-06 周六,20°,9°,多云~晴,西南风3级,74 良
2024-04-07 周日,18°,8°,阴~晴,西南风1级,104 轻度
2024-04-08 周一,17°,5°,多云~晴,东北风3级,109 轻度
2024-04-09 周二,15°,6°,阴~多云,东北风1级,106 轻度
2024-04-10 周三,15°,11°,阴,南风2级,79 良
2024-04-11 周四,17°,11°,阴~晴,南风2级,52 良
2024-04-12 周五,18°,11°,阴~多云,东南风3级,46 优
2024-04-13 周六,16°,8°,雾~多云,东南风3级,33 优
2024-04-14 周日,14°,10°,雾~中雨,东南风3级,29 优
2024-04-15 周一,17°,11°,雾~晴,西风3级,53 良
2024-04-16 周二,19°,10°,阴~晴,西北风3级,77 良
2024-04-17 周三,21°,10°,阴~晴,西南风2级,47 优
2024-04-18 周四,21°,12°,阴~晴,西北风3级,73 良
2024-04-19 周五,18°,11°,阴~多云,东风3级,81 良
2024-04-20 周六,18°,10°,阴~晴,东南风3级,72 良
2024-04-21 周日,19°,11°,多云~晴,东南风2级,59 良
2024-04-22 周一,17°,11°,多云~阴,东南风3级,44 优
2024-04-23 周二,13°,9°,小雨~雷阵雨,东南风4级,27 优
2024-04-24 周三,15°,11°,多云~晴,西南风1级,34 优
2024-04-25 周四,19°,14°,多云~晴,南风2级,50 优
2024-04-26 周五,21°,12°,多云~晴,东南风2级,53 良
2024-04-27 周六,20°,13°,多云,东风2级,52 良
2024-04-28 周日,20°,10°,多云~晴,东北风2级,61 良
2024-04-29 周一,17°,10°,晴~阴,西北风4级,58 良
2024-04-30 周二,19°,12°,多云~晴,西北风3级,45 优
