日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,7°,-3°,多云~小雪,东南风2级,106 轻度
2024-02-02 周五,-1°,-4°,阴~小雪,东风2级,47 优
2024-02-03 周六,1°,-5°,阴,东风2级,51 良
2024-02-04 周日,1°,-5°,雾~多云,东风1级,60 良
2024-02-05 周一,4°,-2°,多云~阴,东北风1级,67 良
2024-02-06 周二,5°,-3°,多云~阴,东北风2级,68 良
2024-02-07 周三,3°,-5°,小雪~多云,东北风1级,66 良
2024-02-08 周四,7°,-5°,雾~晴,东北风1级,75 良
2024-02-09 周五,11°,-5°,晴,西北风1级,98 良
2024-02-10 周六,13°,-5°,晴,东北风1级,185 中度
2024-02-11 周日,15°,-3°,晴,南风2级,73 良
2024-02-12 周一,17°,-2°,阴~晴,东南风2级,73 良
2024-02-13 周二,17°,1°,多云,南风2级,64 良
2024-02-14 周三,10°,-3°,阴~多云,北风4级,60 良
2024-02-15 周四,13°,-4°,多云~晴,东南风1级,48 优
2024-02-16 周五,15°,0°,晴,南风3级,46 优
2024-02-17 周六,14°,3°,阴~多云,南风3级,39 优
2024-02-18 周日,6°,-3°,多云~阴,西北风3级,185 中度
2024-02-19 周一,1°,0°,多云~阴,东南风2级,292 重度
2024-02-20 周二,-1°,-4°,小雪,东风2级,159 中度
2024-02-21 周三,0°,-5°,小雪~阴,北风2级,73 良
2024-02-22 周四,-2°,-5°,小雪,东风2级,58 良
2024-02-23 周五,0°,-4°,中雪~多云,东北风1级,44 优
2024-02-24 周六,4°,-6°,多云,东北风1级,96 良
2024-02-25 周日,3°,-2°,雾~阴,东南风2级,83 良
2024-02-26 周一,5°,-3°,阴~晴,东南风2级,70 良
2024-02-27 周二,4°,0°,雾~阴,南风3级,71 良
2024-02-28 周三,4°,0°,中雪~小雪,东北风2级,81 良
2024-02-29 周四,5°,-1°,雾~阴,东北风2级,71 良
