日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,-1°,-5°,多云,东风1级,38 优
2024-02-02 周五,0°,-4°,阴,西南风1级,59 良
2024-02-03 周六,3°,-4°,晴~多云,东南风1级,96 良
2024-02-04 周日,0°,-2°,阴~小雪,东风1级,64 良
2024-02-05 周一,4°,-2°,晴~多云,西北风2级,119 轻度
2024-02-06 周二,4°,-2°,晴,西北风2级,105 轻度
2024-02-07 周三,5°,-2°,晴,西北风3级,32 优
2024-02-08 周四,7°,-1°,晴~多云,西北风2级,54 良
2024-02-09 周五,7°,-2°,晴,西北风2级,223 重度
2024-02-10 周六,6°,-2°,晴,北风1级,61 良
2024-02-11 周日,12°,1°,多云~晴,西风2级,114 轻度
2024-02-12 周一,14°,2°,阴~晴,西南风2级,175 中度
2024-02-13 周二,16°,1°,晴~多云,西南风1级,212 重度
2024-02-14 周三,10°,-1°,阴,东北风3级,149 轻度
2024-02-15 周四,9°,0°,晴,西北风2级,43 优
2024-02-16 周五,13°,2°,晴,西南风3级,67 良
2024-02-17 周六,13°,7°,晴~阴,南风3级,69 良
2024-02-18 周日,6°,3°,阴,东北风2级,93 良
2024-02-19 周一,4°,-2°,阴,北风4级,29 优
2024-02-20 周二,-2°,-4°,阴~小雪,东北风3级,38 优
2024-02-21 周三,-2°,-5°,阴,东北风3级,32 优
2024-02-22 周四,2°,-5°,多云~晴,东北风2级,30 优
2024-02-23 周五,3°,-3°,多云,东风1级,39 优
2024-02-24 周六,5°,-2°,阴~晴,西南风2级,68 良
2024-02-25 周日,8°,0°,晴,北风3级,96 良
2024-02-26 周一,4°,0°,阴~多云,东南风3级,85 良
2024-02-27 周二,7°,0°,多云~阴,西南风3级,63 良
2024-02-28 周三,6°,0°,阴~多云,东北风3级,93 良
2024-02-29 周四,4°,-3°,多云~晴,北风3级,47 优
