日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,22°,7°,阴~多云,东南风1级,60 良
2024-05-02 周四,26°,9°,晴~多云,东风2级,67 良
2024-05-03 周五,24°,12°,阴~小雨,东南风2级,69 良
2024-05-04 周六,17°,12°,阴~多云,南风1级,51 良
2024-05-05 周日,22°,9°,小雨~晴,西北风1级,57 良
2024-05-06 周一,25°,8°,雾~晴,西风1级,41 优
2024-05-07 周二,28°,9°,晴,东北风3级,42 优
2024-05-08 周三,29°,12°,阴~晴,东南风2级,68 良
2024-05-09 周四,30°,15°,多云,南风3级,75 良
2024-05-10 周五,29°,10°,小雨~多云,西南风1级,67 良
2024-05-11 周六,26°,9°,晴,西北风4级,106 轻度
2024-05-12 周日,27°,6°,晴,东北风3级,47 优
2024-05-13 周一,29°,11°,晴,东南风2级,69 良
2024-05-14 周二,34°,7°,晴,东北风2级,82 良
2024-05-15 周三,25°,10°,晴,东南风1级,56 良
2024-05-16 周四,30°,12°,小雨~晴,西南风2级,83 良
2024-05-17 周五,35°,15°,晴,东风1级,81 良
2024-05-18 周六,35°,17°,阴~多云,南风2级,94 良
2024-05-19 周日,34°,17°,阴~多云,南风1级,89 良
2024-05-20 周一,30°,16°,多云~晴,东北风2级,65 良
2024-05-21 周二,32°,15°,阴~晴,西南风1级,77 良
2024-05-22 周三,34°,16°,晴,南风2级,82 良
2024-05-23 周四,35°,17°,多云,东南风1级,92 良
2024-05-24 周五,30°,16°,阴~多云,东北风3级,86 良
2024-05-25 周六,17°,14°,大雨~晴,东南风1级,51 良
2024-05-26 周日,26°,12°,阴~晴,东北风3级,52 良
2024-05-27 周一,28°,12°,晴,东北风2级,48 优
2024-05-28 周二,31°,18°,阴~多云,南风2级,79 良
2024-05-29 周三,27°,14°,阴~多云,西南风3级,66 良
2024-05-30 周四,32°,15°,阴~晴,西北风2级,58 良
2024-05-31 周五,27°,15°,阴~多云,东北风3级,42 优
