日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,18°,9°,晴~阴,东南风3级,47 优
2024-04-02 周二,15°,9°,多云~阴,东南风3级,33 优
2024-04-03 周三,15°,7°,阴~多云,北风4级,47 优
2024-04-04 周四,14°,6°,晴,西北风4级,54 良
2024-04-05 周五,19°,10°,晴~多云,西北风1级,60 良
2024-04-06 周六,21°,12°,阴~多云,西南风1级,54 良
2024-04-07 周日,22°,11°,多云~晴,西南风1级,65 良
2024-04-08 周一,22°,7°,多云~晴,北风2级,79 良
2024-04-09 周二,16°,7°,晴~多云,北风3级,76 良
2024-04-10 周三,16°,13°,阴,南风4级,62 良
2024-04-11 周四,17°,12°,晴,西南风5级,44 优
2024-04-12 周五,19°,13°,雾~晴,南风4级,32 优
2024-04-13 周六,19°,10°,雾~多云,南风3级,26 优
2024-04-14 周日,21°,11°,小雨~中雨,东南风4级,29 优
2024-04-15 周一,22°,10°,多云~阴,西北风4级,53 良
2024-04-16 周二,19°,10°,晴~多云,西北风3级,123 轻度
2024-04-17 周三,22°,11°,晴,东北风1级,53 良
2024-04-18 周四,26°,14°,阴~晴,西风2级,89 良
2024-04-19 周五,23°,14°,阴~小雨,东南风2级,84 良
2024-04-20 周六,15°,12°,阴,东南风3级,59 良
2024-04-21 周日,19°,11°,阴~多云,东北风2级,55 良
2024-04-22 周一,22°,14°,多云~阴,东南风3级,45 优
2024-04-23 周二,15°,11°,中雨~雷阵雨,南风4级,31 优
2024-04-24 周三,18°,14°,雾~多云,西北风3级,26 优
2024-04-25 周四,21°,15°,多云~晴,西南风4级,62 良
2024-04-26 周五,21°,13°,晴,南风4级,47 优
2024-04-27 周六,24°,12°,晴~阴,东南风1级,31 优
2024-04-28 周日,26°,12°,雾~多云,东北风2级,29 优
2024-04-29 周一,21°,11°,晴~多云,西北风3级,56 良
2024-04-30 周二,15°,12°,阴~多云,西北风4级,46 优
