日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,22°,21°,小雨~多云,北风1级,31 优
2024-06-02 周日,30°,21°,阴,东北风2级,37 优
2024-06-03 周一,23°,20°,雾~小雨,西北风1级,53 良
2024-06-04 周二,21°,19°,小雨,东北风2级,30 优
2024-06-05 周三,23°,18°,阴~多云,东北风1级,26 优
2024-06-06 周四,25°,18°,雾~多云,东南风1级,35 优
2024-06-07 周五,29°,20°,雾~小雨,西南风1级,40 优
2024-06-08 周六,25°,21°,阴~小雨,东北风2级,36 优
2024-06-09 周日,25°,22°,小雨,东北风2级,28 优
2024-06-10 周一,26°,21°,小雨,西南风1级,19 优
2024-06-11 周二,31°,24°,中雨~小雨,西南风1级,19 优
2024-06-12 周三,30°,24°,大雨~多云,西北风1级,24 优
2024-06-13 周四,32°,24°,雾~多云,东南风1级,22 优
2024-06-14 周五,33°,24°,小雨~多云,南风1级,35 优
2024-06-15 周六,34°,24°,雾~晴,东北风2级,38 优
2024-06-16 周日,34°,24°,小雨~中雨,北风1级,37 优
2024-06-17 周一,26°,23°,中雨~大雨,东北风2级,26 优
2024-06-18 周二,26°,23°,中雨~小雨,东北风1级,21 优
2024-06-19 周三,30°,24°,小雨,南风2级,25 优
2024-06-20 周四,31°,26°,雾~晴,南风3级,26 优
2024-06-21 周五,32°,27°,雾~多云,南风3级,32 优
2024-06-22 周六,31°,25°,小雨,西北风1级,26 优
2024-06-23 周日,31°,25°,雾~中雨,西南风1级,27 优
2024-06-24 周一,26°,21°,暴雨~大雨,东北风2级,22 优
2024-06-25 周二,22°,20°,大雨~中雨,北风2级,26 优
2024-06-26 周三,22°,21°,中雨~小雨,北风1级,28 优
2024-06-27 周四,24°,23°,小雨,东北风微风,23 优
2024-06-28 周五,30°,25°,雾~阴,南风3级,28 优
2024-06-29 周六,28°,24°,小雨~大雨,西南风1级,21 优
2024-06-30 周日,30°,25°,中雨,西南风2级,22 优
