日期,最高温,最低温,天气,风力风向,空气质量指数
2024-02-01 周四,2°,0°,大雪~冻雨,北风4级,67 良
2024-02-02 周五,0°,-1°,冻雨,北风3级,60 良
2024-02-03 周六,0°,-2°,中雪~暴雪,北风3级,92 良
2024-02-04 周日,0°,-1°,暴雪~晴,西北风3级,123 轻度
2024-02-05 周一,0°,-2°,中雪~小雪,东北风2级,94 良
2024-02-06 周二,0°,-1°,多云~小雨,东北风2级,125 轻度
2024-02-07 周三,3°,-1°,多云,东北风2级,139 轻度
2024-02-08 周四,5°,-2°,多云,西北风1级,132 轻度
2024-02-09 周五,7°,0°,多云~晴,西南风2级,158 中度
2024-02-10 周六,12°,2°,阴~晴,西南风2级,212 重度
2024-02-11 周日,16°,2°,多云~晴,南风2级,173 中度
2024-02-12 周一,20°,10°,阴~多云,东南风3级,88 良
2024-02-13 周二,22°,10°,晴~多云,南风3级,59 良
2024-02-14 周三,23°,8°,阴~中雨,东南风2级,67 良
2024-02-15 周四,11°,2°,阴~多云,东北风4级,65 良
2024-02-16 周五,14°,3°,雾~晴,南风2级,43 优
2024-02-17 周六,17°,14°,阴~多云,东南风3级,43 优
2024-02-18 周日,25°,11°,阴,西南风3级,45 优
2024-02-19 周一,15°,5°,小雨,北风4级,76 良
2024-02-20 周二,3°,0°,中雨~冻雨,北风3级,17 优
2024-02-21 周三,-1°,-2°,阴~大雪,北风4级,43 优
2024-02-22 周四,0°,-2°,中雪~小雪,北风3级,52 良
2024-02-23 周五,0°,-3°,小雪,北风3级,60 良
2024-02-24 周六,0°,-1°,小雪~晴,北风2级,62 良
2024-02-25 周日,6°,0°,雾~雨夹雪,北风1级,90 良
2024-02-26 周一,6°,0°,多云,东北风2级,100 良
2024-02-27 周二,10°,4°,多云~阴,东南风1级,107 轻度
2024-02-28 周三,8°,3°,多云~小雨,东北风2级,100 良
2024-02-29 周四,7°,1°,多云~晴,东北风3级,113 轻度
