日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,26°,19°,中雨~小雨,北风2级,15 优
2024-10-02 周三,21°,18°,小雨~中雨,北风2级,20 优
2024-10-03 周四,20°,19°,小雨,北风2级,26 优
2024-10-04 周五,23°,18°,中雨,西北风2级,23 优
2024-10-05 周六,25°,24°,小雨,西北风1级,22 优
2024-10-06 周日,29°,24°,阴~小雨,东风1级,22 优
2024-10-07 周一,26°,21°,中雨~小雨,东南风2级,20 优
2024-10-08 周二,23°,20°,小雨,东北风1级,17 优
2024-10-09 周三,25°,20°,小雨~多云,东北风1级,30 优
2024-10-10 周四,26°,18°,阴~晴,东风2级,48 优
2024-10-11 周五,26°,19°,晴~多云,东风1级,45 优
2024-10-12 周六,26°,22°,阴,东北风1级,44 优
2024-10-13 周日,28°,23°,阴,东北风1级,35 优
2024-10-14 周一,30°,22°,阴~多云,东风1级,33 优
2024-10-15 周二,30°,23°,阴~小雨,东风1级,29 优
2024-10-16 周三,30°,22°,多云,东风1级,28 优
2024-10-17 周四,28°,23°,多云~阴,东风1级,37 优
2024-10-18 周五,31°,23°,多云,东南风1级,38 优
2024-10-19 周六,31°,21°,阴~小雨,东风2级,40 优
2024-10-20 周日,25°,20°,阴,东南风2级,25 优
2024-10-21 周一,27°,22°,多云,东风1级,32 优
2024-10-22 周二,28°,20°,阴~多云,东风2级,31 优
2024-10-23 周三,28°,18°,阴~多云,东风2级,38 优
2024-10-24 周四,25°,20°,阴~多云,东北风2级,38 优
2024-10-25 周五,25°,21°,小雨,西北风2级,28 优
2024-10-26 周六,25°,22°,小雨,西北风2级,28 优
2024-10-27 周日,29°,21°,阴~小雨,东北风1级,25 优
2024-10-28 周一,22°,19°,阴~多云,东北风1级,18 优
2024-10-29 周二,25°,17°,阴,东风1级,39 优
2024-10-30 周三,26°,21°,阴~小雨,东北风2级,49 优
2024-10-31 周四,25°,20°,大雨~大暴雨,北风2级,21 优
