日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,21°,15°,阴~晴,东北风4级,24 优
2024-10-02 周三,23°,13°,晴,东北风4级,45 优
2024-10-03 周四,23°,14°,晴,东北风3级,34 优
2024-10-04 周五,24°,16°,晴~多云,东北风3级,39 优
2024-10-05 周六,25°,18°,阴~小雨,东北风3级,44 优
2024-10-06 周日,21°,16°,雾~小雨,东北风3级,29 优
2024-10-07 周一,17°,13°,中雨~多云,东北风3级,22 优
2024-10-08 周二,21°,15°,小雨~多云,东北风3级,38 优
2024-10-09 周三,25°,14°,雾~晴,东北风2级,49 优
2024-10-10 周四,27°,15°,多云~晴,东北风1级,58 良
2024-10-11 周五,28°,16°,雾~多云,东北风3级,67 良
2024-10-12 周六,26°,17°,阴,东北风2级,75 良
2024-10-13 周日,25°,19°,阴~小雨,东北风2级,70 良
2024-10-14 周一,21°,19°,小雨,东北风2级,58 良
2024-10-15 周二,21°,17°,雾~小雨,东北风2级,42 优
2024-10-16 周三,22°,18°,小雨~阴,东北风3级,39 优
2024-10-17 周四,25°,21°,雾~小雨,东南风1级,28 优
2024-10-18 周五,28°,17°,小雨~多云,西南风3级,33 优
2024-10-19 周六,19°,9°,小雨~阴,东北风4级,24 优
2024-10-20 周日,17°,13°,阴~多云,东北风3级,38 优
2024-10-21 周一,21°,14°,多云~小雨,东北风2级,47 优
2024-10-22 周二,17°,10°,小雨~晴,东北风3级,34 优
2024-10-23 周三,19°,9°,雾~晴,东北风3级,56 良
2024-10-24 周四,21°,12°,晴~多云,东北风3级,56 良
2024-10-25 周五,22°,15°,多云~小雨,东北风4级,45 优
2024-10-26 周六,17°,16°,小雨,东北风3级,31 优
2024-10-27 周日,19°,13°,阴~多云,东北风3级,29 优
2024-10-28 周一,20°,12°,雾~多云,东北风3级,63 良
2024-10-29 周二,21°,11°,雾~晴,东北风3级,78 良
2024-10-30 周三,22°,13°,多云,东北风4级,51 良
2024-10-31 周四,21°,14°,阴~小雨,东北风4级,39 优
