日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,8°,3°,阴,东风1级,-
2023-12-02 周六,14°,5°,阴~小雨,西南风1级,-
2023-12-03 周日,9°,5°,阴~多云,东风1级,-
2023-12-04 周一,14°,5°,雾~晴,西风1级,-
2023-12-05 周二,9°,4°,雾~多云,西风1级,-
2023-12-06 周三,14°,4°,雾~多云,西风2级,-
2023-12-07 周四,17°,4°,晴~多云,西北风1级,-
2023-12-08 周五,15°,5°,多云,西南风1级,-
2023-12-09 周六,18°,9°,阴~晴,东南风1级,-
2023-12-10 周日,13°,2°,小雨,东北风3级,-
2023-12-11 周一,9°,1°,阴~多云,东南风1级,-
2023-12-12 周二,9°,4°,阴,东风1级,-
2023-12-13 周三,7°,3°,阴~阵雨,东北风2级,-
2023-12-14 周四,6°,2°,雨夹雪~阴,东风2级,-
2023-12-15 周五,4°,-3°,阴~多云,北风2级,-
2023-12-16 周六,4°,0°,多云~阴,东南风微风,-
2023-12-17 周日,4°,1°,多云~阴,东北风2级,-
2023-12-18 周一,6°,0°,多云~阴,东风1级,-
2023-12-19 周二,10°,-2°,多云~雨夹雪,东南风1级,-
2023-12-20 周三,9°,0°,晴~阴,东风1级,-
2023-12-21 周四,6°,0°,多云,东风2级,-
2023-12-22 周五,6°,0°,阴~晴,东风1级,-
2023-12-23 周六,9°,-1°,阴~晴,西南风1级,-
2023-12-24 周日,10°,0°,雾~晴,西风1级,-
2023-12-25 周一,10°,1°,雾~阴,西南风1级,-
2023-12-26 周二,12°,1°,多云~晴,西风1级,-
2023-12-27 周三,12°,1°,晴~多云,东风1级,-
2023-12-28 周四,7°,4°,多云~小雨,东北风1级,-
2023-12-29 周五,11°,1°,多云,西南风1级,-
2023-12-30 周六,13°,0°,雾~晴,西风1级,-
2023-12-31 周日,14°,1°,多云~阴,东北风2级,121 轻度
