日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,25°,21°,中雨~大雨,东北风3级,40 优
2024-07-02 周二,23°,19°,中雨~多云,北风4级,40 优
2024-07-03 周三,30°,23°,阴,南风3级,49 优
2024-07-04 周四,31°,21°,阴,南风3级,49 优
2024-07-05 周五,27°,20°,大雨~晴,南风2级,35 优
2024-07-06 周六,31°,22°,阴,南风3级,44 优
2024-07-07 周日,31°,24°,阴~小雨,东风2级,35 优
2024-07-08 周一,27°,22°,小雨~阴,西南风微风,28 优
2024-07-09 周二,30°,22°,阴~晴,东北风3级,50 优
2024-07-10 周三,31°,22°,阴~多云,东南风2级,70 良
2024-07-11 周四,32°,22°,阴~多云,南风3级,80 良
2024-07-12 周五,31°,24°,阴~多云,东南风3级,43 优
2024-07-13 周六,31°,23°,阴~小雨,东风2级,57 良
2024-07-14 周日,28°,23°,多云~小雨,东北风2级,83 良
2024-07-15 周一,29°,23°,小雨,东北风1级,74 良
2024-07-16 周二,31°,23°,多云~小雨,东北风2级,52 良
2024-07-17 周三,27°,23°,中雨~晴,东北风2级,41 优
2024-07-18 周四,35°,24°,晴,南风3级,44 优
2024-07-19 周五,32°,24°,阴~小雨,东南风3级,37 优
2024-07-20 周六,33°,23°,阴~多云,东南风2级,34 优
2024-07-21 周日,35°,26°,阴~小雨,南风3级,44 优
2024-07-22 周一,36°,25°,暴雨~小雨,西南风3级,39 优
2024-07-23 周二,32°,26°,阴,西南风2级,33 优
2024-07-24 周三,35°,24°,雾~小雨,南风3级,46 优
2024-07-25 周四,26°,23°,小雨,东北风2级,26 优
2024-07-26 周五,31°,24°,阴~多云,东北风2级,28 优
2024-07-27 周六,32°,24°,阴~小雨,东北风4级,36 优
2024-07-28 周日,33°,25°,阴~中雨,东北风3级,24 优
2024-07-29 周一,30°,24°,中雨~小雨,西风1级,19 优
2024-07-30 周二,33°,24°,阴~小雨,南风5级,26 优
2024-07-31 周三,33°,24°,阴,南风4级,32 优
