日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,26°,19°,大雨~阵雨,西北风2级,26 优
2024-07-02 周二,29°,19°,阴,南风2级,46 优
2024-07-03 周三,23°,20°,小雨~阵雨,南风4级,19 优
2024-07-04 周四,25°,20°,阴,南风4级,15 优
2024-07-05 周五,26°,20°,阴~阵雨,南风4级,16 优
2024-07-06 周六,28°,21°,阴,南风4级,17 优
2024-07-07 周日,28°,21°,多云~阴,南风5级,20 优
2024-07-08 周一,28°,21°,阴,南风5级,20 优
2024-07-09 周二,30°,21°,阴,南风4级,20 优
2024-07-10 周三,30°,20°,小雨~阵雨,南风4级,22 优
2024-07-11 周四,27°,20°,阴,南风3级,18 优
2024-07-12 周五,30°,21°,阴~小雨,南风3级,18 优
2024-07-13 周六,28°,22°,阴~阵雨,南风4级,20 优
2024-07-14 周日,26°,21°,阴,南风4级,20 优
2024-07-15 周一,29°,21°,阴,南风4级,16 优
2024-07-16 周二,29°,21°,多云~阴,南风4级,19 优
2024-07-17 周三,29°,21°,多云~阴,南风4级,21 优
2024-07-18 周四,30°,21°,阴,南风3级,18 优
2024-07-19 周五,28°,21°,阴~阵雨,南风4级,15 优
2024-07-20 周六,26°,21°,阴~阵雨,南风4级,16 优
2024-07-21 周日,30°,21°,阴~多云,南风4级,16 优
2024-07-22 周一,32°,21°,阴~多云,南风3级,19 优
2024-07-23 周二,32°,21°,阴~多云,东南风3级,19 优
2024-07-24 周三,30°,22°,阴~多云,东南风2级,20 优
2024-07-25 周四,34°,21°,多云,东北风2级,33 优
2024-07-26 周五,35°,16°,阴,东北风2级,35 优
2024-07-27 周六,34°,22°,阴~阵雨,东南风2级,38 优
2024-07-28 周日,28°,20°,阴~中雨,东风2级,33 优
2024-07-29 周一,23°,21°,暴雨~小雨,东风2级,22 优
2024-07-30 周二,25°,20°,小雨~阵雨,东风2级,21 优
2024-07-31 周三,26°,20°,小雨~阵雨,东风1级,21 优
