日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,-3°,-13°,小雪~晴,东北风2级,61 良
2024-03-02 周六,5°,-9°,晴~多云,南风2级,66 良
2024-03-03 周日,2°,-4°,阴~多云,东南风3级,51 良
2024-03-04 周一,0°,-2°,阴~多云,东北风3级,51 良
2024-03-05 周二,1°,-7°,多云,东北风3级,89 良
2024-03-06 周三,6°,-6°,阴~晴,东风1级,61 良
2024-03-07 周四,6°,-5°,晴~多云,东南风1级,134 轻度
2024-03-08 周五,9°,-4°,多云,东南风1级,100 良
2024-03-09 周六,11°,-2°,阴~小雪,东南风2级,62 良
2024-03-10 周日,9°,-5°,阴~晴,西北风2级,71 良
2024-03-11 周一,14°,-4°,晴~多云,北风1级,62 良
2024-03-12 周二,11°,-2°,阴~雨夹雪,东南风3级,58 良
2024-03-13 周三,11°,-3°,阴~晴,东北风2级,45 优
2024-03-14 周四,10°,1°,阴,东南风5级,55 良
2024-03-15 周五,8°,-1°,阴~晴,东北风3级,154 中度
2024-03-16 周六,7°,0°,多云~雨夹雪,东北风2级,260 重度
2024-03-17 周日,6°,-2°,阴,东北风2级,72 良
2024-03-18 周一,8°,-6°,晴,北风3级,87 良
2024-03-19 周二,13°,-4°,多云,东南风1级,73 良
2024-03-20 周三,15°,-1°,多云~阴,南风3级,69 良
2024-03-21 周四,23°,3°,晴~多云,西南风1级,50 优
2024-03-22 周五,19°,4°,多云,东南风3级,65 良
2024-03-23 周六,10°,1°,阴~雨夹雪,北风4级,81 良
2024-03-24 周日,4°,-4°,大雪~多云,西北风3级,41 优
2024-03-25 周一,12°,1°,阴~晴,北风1级,48 优
2024-03-26 周二,6°,0°,阴,东南风3级,41 优
2024-03-27 周三,9°,-3°,多云,北风4级,48 优
2024-03-28 周四,17°,0°,多云~晴,西风2级,53 良
2024-03-29 周五,21°,2°,多云,东北风1级,54 良
2024-03-30 周六,20°,3°,多云,南风2级,135 轻度
2024-03-31 周日,20°,5°,多云~晴,东南风4级,63 良
