日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,28°,20°,阴~阵雨,北风1级,58 良
2024-06-02 周日,19°,18°,小雨~阵雨,西北风2级,43 优
2024-06-03 周一,24°,18°,阴~小雨,西南风微风,42 优
2024-06-04 周二,22°,19°,小雨,西北风1级,33 优
2024-06-05 周三,28°,19°,雾~多云,东南风1级,39 优
2024-06-06 周四,25°,21°,阴~大雨,东北风1级,50 优
2024-06-07 周五,25°,21°,阴,西北风1级,27 优
2024-06-08 周六,23°,19°,小雨~多云,东南风1级,25 优
2024-06-09 周日,24°,22°,阴~晴,东南风1级,39 优
2024-06-10 周一,28°,21°,阴~阵雨,东北风1级,36 优
2024-06-11 周二,25°,20°,中雨~晴,东南风1级,34 优
2024-06-12 周三,31°,21°,阴,东风1级,33 优
2024-06-13 周四,31°,23°,阴~多云,西南风1级,44 优
2024-06-14 周五,31°,23°,阴~晴,西南风1级,44 优
2024-06-15 周六,35°,25°,阴~多云,东南风1级,50 优
2024-06-16 周日,30°,23°,阵雨~中雨,东北风1级,59 良
2024-06-17 周一,30°,23°,多云,东北风1级,39 优
2024-06-18 周二,26°,22°,中雨~阵雨,西北风2级,41 优
2024-06-19 周三,26°,23°,阴~阵雨,西北风微风,30 优
2024-06-20 周四,30°,24°,雾~阵雨,东风1级,30 优
2024-06-21 周五,28°,22°,小雨~多云,西北风2级,29 优
2024-06-22 周六,34°,24°,多云~阴,西风1级,23 优
2024-06-23 周日,26°,22°,阴,北风1级,28 优
2024-06-24 周一,23°,21°,小雨~阵雨,南风1级,31 优
2024-06-25 周二,27°,22°,阴,东风2级,32 优
2024-06-26 周三,22°,20°,中雨~阵雨,东北风1级,35 优
2024-06-27 周四,22°,21°,小雨~阵雨,东北风1级,23 优
2024-06-28 周五,26°,22°,雾~阴,东南风1级,34 优
2024-06-29 周六,31°,23°,阴~多云,南风1级,26 优
2024-06-30 周日,32°,23°,阴~大雨,东北风1级,37 优
