日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,24°,14°,阴~多云,东风1级,54 良
2024-11-02 周六,24°,13°,阴~晴,东南风1级,64 良
2024-11-03 周日,25°,15°,多云,东南风1级,69 良
2024-11-04 周一,24°,11°,阴~晴,东北风2级,61 良
2024-11-05 周二,23°,11°,晴,东南风1级,62 良
2024-11-06 周三,22°,12°,晴~多云,东南风1级,68 良
2024-11-07 周四,23°,13°,多云,东南风1级,80 良
2024-11-08 周五,19°,14°,阴~小雨,东南风1级,86 良
2024-11-09 周六,22°,13°,阴~晴,东南风1级,82 良
2024-11-10 周日,23°,13°,晴,东南风1级,65 良
2024-11-11 周一,24°,14°,多云,东南风1级,74 良
2024-11-12 周二,20°,16°,阴~小雨,东北风1级,79 良
2024-11-13 周三,20°,16°,阴~小雨,东风1级,70 良
2024-11-14 周四,19°,16°,小雨~阴,东风1级,62 良
2024-11-15 周五,21°,15°,阴~小雨,东南风1级,62 良
2024-11-16 周六,18°,11°,小雨,东风1级,45 优
2024-11-17 周日,12°,7°,小雨,东北风1级,21 优
2024-11-18 周一,10°,8°,小雨,北风1级,18 优
2024-11-19 周二,10°,8°,小雨,东南风1级,25 优
2024-11-20 周三,16°,8°,阴~多云,东南风1级,33 优
2024-11-21 周四,18°,8°,阴~多云,东南风1级,26 优
2024-11-22 周五,16°,8°,阴~多云,东南风1级,38 优
2024-11-23 周六,14°,9°,阴~多云,东南风1级,60 良
2024-11-24 周日,12°,9°,阴~小雨,东南风1级,76 良
2024-11-25 周一,17°,3°,小雨~多云,东北风1级,41 优
2024-11-26 周二,10°,5°,阴,东南风1级,37 优
2024-11-27 周三,16°,6°,多云,东南风1级,48 优
2024-11-28 周四,20°,5°,晴~多云,南风1级,45 优
2024-11-29 周五,19°,5°,晴~多云,西风1级,51 良
2024-11-30 周六,21°,7°,多云~晴,西南风1级,55 良
