日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,21°,19°,小雨~中雨,东风2级,40 优
2024-04-02 周二,26°,19°,中雨~暴雨,西南风2级,46 优
2024-04-03 周三,21°,16°,中雨~小雨,西北风1级,31 优
2024-04-04 周四,16°,13°,小雨~阴,东北风1级,37 优
2024-04-05 周五,15°,13°,小雨,东风2级,44 优
2024-04-06 周六,14°,13°,小雨,东北风1级,49 优
2024-04-07 周日,15°,14°,小雨,北风1级,50 优
2024-04-08 周一,20°,15°,雾~多云,西风2级,49 优
2024-04-09 周二,17°,14°,雾~阴,东北风2级,54 良
2024-04-10 周三,20°,17°,雾~阵雨,东北风1级,43 优
2024-04-11 周四,19°,18°,阴~雷阵雨,东北风1级,50 优
2024-04-12 周五,21°,18°,雾~阴,西北风1级,39 优
2024-04-13 周六,22°,20°,雾~中雨,东北风2级,55 良
2024-04-14 周日,26°,20°,雾~阴,西北风1级,45 优
2024-04-15 周一,31°,20°,雾~大雨,东风1级,54 良
2024-04-16 周二,23°,20°,中雨,东北风2级,42 优
2024-04-17 周三,24°,19°,阴~多云,西北风2级,36 优
2024-04-18 周四,24°,19°,阴~雷阵雨,东风2级,41 优
2024-04-19 周五,27°,19°,小雨~阴,南风1级,30 优
2024-04-20 周六,24°,19°,小雨,西风1级,32 优
2024-04-21 周日,19°,17°,小雨,东北风2级,29 优
2024-04-22 周一,23°,18°,阴~阵雨,东南风1级,38 优
2024-04-23 周二,25°,17°,小雨~多云,西北风1级,36 优
2024-04-24 周三,27°,18°,多云~阵雨,东风2级,44 优
2024-04-25 周四,23°,19°,小雨,东南风1级,45 优
2024-04-26 周五,26°,19°,雾~多云,西北风1级,51 良
2024-04-27 周六,28°,21°,雾~中雨,东风2级,50 优
2024-04-28 周日,30°,20°,阴~多云,西风2级,45 优
2024-04-29 周一,25°,20°,阴~中雨,东北风2级,42 优
2024-04-30 周二,20°,15°,阴~多云,西风3级,26 优
