日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,2°,-1°,中雪~晴,北风1级,67 良
2024-03-02 周六,9°,0°,雨夹雪~晴,东南风1级,49 优
2024-03-03 周日,8°,4°,阴~多云,东风2级,75 良
2024-03-04 周一,8°,3°,阴~多云,东北风1级,98 良
2024-03-05 周二,14°,3°,阴~多云,西北风2级,85 良
2024-03-06 周三,13°,2°,阴~多云,北风1级,69 良
2024-03-07 周四,15°,1°,晴,东北风1级,101 轻度
2024-03-08 周五,10°,2°,多云~阴,东风2级,93 良
2024-03-09 周六,17°,5°,多云~小雨,东风2级,85 良
2024-03-10 周日,17°,3°,小雨~晴,西北风2级,73 良
2024-03-11 周一,25°,0°,晴~阴,西南风1级,66 良
2024-03-12 周二,15°,5°,阴~小雨,东风2级,68 良
2024-03-13 周三,20°,6°,阴,北风1级,60 良
2024-03-14 周四,17°,6°,阴,东风2级,90 良
2024-03-15 周五,13°,7°,多云,东北风1级,92 良
2024-03-16 周六,17°,9°,阴,北风1级,158 中度
2024-03-17 周日,11°,6°,阴~小雨,东风2级,128 轻度
2024-03-18 周一,19°,3°,阴~晴,北风2级,87 良
2024-03-19 周二,18°,6°,多云,东风2级,114 轻度
2024-03-20 周三,19°,6°,晴~多云,东南风2级,108 轻度
2024-03-21 周四,24°,10°,晴~多云,南风2级,86 良
2024-03-22 周五,24°,9°,晴~多云,东北风2级,92 良
2024-03-23 周六,17°,10°,阴~小雨,北风1级,120 轻度
2024-03-24 周日,11°,6°,中雨~小雨,西北风2级,49 优
2024-03-25 周一,19°,9°,多云,东风1级,44 优
2024-03-26 周二,17°,10°,小雨~阴,东南风1级,83 良
2024-03-27 周三,22°,8°,多云,西北风3级,90 良
2024-03-28 周四,27°,13°,多云~晴,西风3级,63 良
2024-03-29 周五,29°,11°,晴~阴,东南风1级,56 良
2024-03-30 周六,24°,13°,阴~晴,东北风1级,68 良
2024-03-31 周日,25°,14°,晴~多云,东南风2级,88 良
