日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,6°,-2°,阴~多云,东北风3级,55 良
2024-03-02 周六,11°,0°,多云,西风2级,52 良
2024-03-03 周日,15°,5°,雾~多云,东南风2级,53 良
2024-03-04 周一,12°,8°,小雨~中雨,东风2级,67 良
2024-03-05 周二,9°,4°,小雨,西北风3级,36 优
2024-03-06 周三,8°,1°,阴~晴,北风2级,70 良
2024-03-07 周四,14°,1°,雾~晴,西北风2级,84 良
2024-03-08 周五,14°,1°,雾~晴,东北风2级,71 良
2024-03-09 周六,15°,3°,多云~晴,东北风2级,73 良
2024-03-10 周日,18°,9°,多云~小雨,东风3级,99 良
2024-03-11 周一,20°,8°,阴~晴,西风2级,72 良
2024-03-12 周二,19°,5°,多云,北风2级,81 良
2024-03-13 周三,19°,9°,阴~小雨,东风2级,90 良
2024-03-14 周四,15°,7°,阴~多云,东北风2级,71 良
2024-03-15 周五,21°,10°,多云,东风3级,88 良
2024-03-16 周六,23°,14°,雾~小雨,西南风1级,75 良
2024-03-17 周日,14°,7°,小雨,东北风3级,79 良
2024-03-18 周一,10°,4°,小雨~多云,东北风3级,68 良
2024-03-19 周二,18°,3°,晴,西北风3级,68 良
2024-03-20 周三,20°,4°,晴~多云,西北风1级,79 良
2024-03-21 周四,25°,12°,多云~晴,东南风2级,57 良
2024-03-22 周五,28°,17°,多云~小雨,西南风2级,54 良
2024-03-23 周六,27°,17°,阴~小雨,东南风2级,55 良
2024-03-24 周日,22°,15°,小雨,东北风2级,62 良
2024-03-25 周一,16°,8°,中雨~多云,西北风4级,36 优
2024-03-26 周二,16°,8°,阴,西北风1级,49 优
2024-03-27 周三,17°,13°,小雨~中雨,东北风1级,52 良
2024-03-28 周四,18°,13°,雾~多云,西风3级,33 优
2024-03-29 周五,30°,13°,阴,西南风3级,39 优
2024-03-30 周六,32°,14°,阴,西南风1级,46 优
2024-03-31 周日,25°,13°,小雨~阴,西北风2级,71 良
