日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,35°,26°,阴,西南风3级,29 优
2024-08-02 周五,35°,26°,阴~多云,西南风2级,26 优
2024-08-03 周六,36°,27°,多云,西南风2级,32 优
2024-08-04 周日,37°,26°,阴~晴,西南风3级,35 优
2024-08-05 周一,37°,26°,多云~小雨,西南风2级,35 优
2024-08-06 周二,33°,25°,阴~小雨,东风2级,29 优
2024-08-07 周三,35°,26°,阴~小雨,南风1级,39 优
2024-08-08 周四,33°,26°,小雨~多云,东风2级,32 优
2024-08-09 周五,36°,28°,阴~多云,东南风2级,46 优
2024-08-10 周六,36°,26°,多云,西南风3级,52 良
2024-08-11 周日,36°,22°,多云,西风3级,99 良
2024-08-12 周一,37°,24°,晴,西南风2级,56 良
2024-08-13 周二,35°,24°,多云~小雨,东北风2级,56 良
2024-08-14 周三,32°,24°,中雨~小雨,东北风3级,48 优
2024-08-15 周四,33°,24°,雾~多云,东北风2级,35 优
2024-08-16 周五,34°,24°,阴~多云,东北风2级,37 优
2024-08-17 周六,34°,24°,阴~多云,东风3级,33 优
2024-08-18 周日,34°,25°,阴~小雨,东风2级,38 优
2024-08-19 周一,33°,23°,暴雨~中雨,东风1级,40 优
2024-08-20 周二,33°,22°,小雨~多云,西北风2级,38 优
2024-08-21 周三,33°,23°,阴~多云,西北风1级,56 良
2024-08-22 周四,34°,25°,雾~多云,西南风2级,51 良
2024-08-23 周五,35°,25°,雾~多云,东南风1级,53 良
2024-08-24 周六,35°,26°,雾~多云,东风2级,47 优
2024-08-25 周日,35°,27°,小雨~阴,东风3级,55 良
2024-08-26 周一,35°,23°,雾~中雨,西南风2级,48 优
2024-08-27 周二,24°,23°,小雨,西北风4级,25 优
2024-08-28 周三,29°,23°,小雨~多云,东北风4级,34 优
2024-08-29 周四,31°,23°,雾~多云,东北风3级,39 优
2024-08-30 周五,34°,24°,阴~多云,东风2级,40 优
2024-08-31 周六,33°,26°,多云,东风2级,46 优
