日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,21°,12°,阴~晴,东北风4级,53 良
2024-11-02 周六,21°,9°,多云~晴,东北风2级,82 良
2024-11-03 周日,23°,12°,多云,西南风1级,111 轻度
2024-11-04 周一,18°,6°,阴~多云,东北风4级,56 良
2024-11-05 周二,15°,6°,晴,北风2级,39 优
2024-11-06 周三,18°,5°,晴~多云,东风2级,63 良
2024-11-07 周四,17°,7°,阴,东南风2级,43 优
2024-11-08 周五,18°,10°,多云~阴,东南风3级,42 优
2024-11-09 周六,18°,13°,阴~小雨,东风2级,56 良
2024-11-10 周日,19°,12°,雾~晴,东北风2级,45 优
2024-11-11 周一,21°,13°,雾~晴,东风1级,73 良
2024-11-12 周二,22°,14°,多云~阴,东南风2级,94 良
2024-11-13 周三,19°,15°,多云~小雨,东南风3级,120 轻度
2024-11-14 周四,21°,15°,雾~多云,东南风1级,78 良
2024-11-15 周五,20°,15°,雾~多云,东北风2级,76 良
2024-11-16 周六,17°,9°,小雨~中雨,东北风2级,76 良
2024-11-17 周日,14°,8°,阴,东北风3级,29 优
2024-11-18 周一,12°,7°,阴,东北风3级,35 优
2024-11-19 周二,13°,6°,阴~多云,东北风1级,38 优
2024-11-20 周三,12°,6°,阴~晴,西南风2级,52 良
2024-11-21 周四,15°,6°,雾~晴,西北风2级,73 良
2024-11-22 周五,15°,5°,雾~晴,东北风3级,67 良
2024-11-23 周六,13°,6°,多云~阴,东北风3级,38 优
2024-11-24 周日,14°,9°,雾~小雨,东南风3级,56 良
2024-11-25 周一,10°,2°,中雨~晴,西北风3级,31 优
2024-11-26 周二,8°,3°,晴,西北风3级,40 优
2024-11-27 周三,8°,2°,晴,西北风4级,61 良
2024-11-28 周四,9°,1°,晴,西北风4级,57 良
2024-11-29 周五,14°,1°,晴,西风3级,65 良
2024-11-30 周六,16°,5°,多云,西南风2级,81 良
