日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,5°,2°,小雨~多云,东北风3级,64 良
2024-03-02 周六,12°,4°,雾~晴,西南风2级,52 良
2024-03-03 周日,11°,8°,小雨~多云,南风3级,45 优
2024-03-04 周一,9°,8°,小雨,东北风1级,41 优
2024-03-05 周二,9°,8°,多云~阴,北风3级,87 良
2024-03-06 周三,11°,6°,多云~晴,东北风3级,99 良
2024-03-07 周四,13°,5°,雾~晴,东北风3级,71 良
2024-03-08 周五,15°,9°,雾~多云,东北风3级,84 良
2024-03-09 周六,14°,7°,阴~晴,西南风2级,75 良
2024-03-10 周日,15°,9°,雾~多云,西南风1级,80 良
2024-03-11 周一,21°,8°,多云~晴,西南风2级,72 良
2024-03-12 周二,22°,14°,多云,东风2级,65 良
2024-03-13 周三,17°,11°,小雨,南风2级,69 良
2024-03-14 周四,18°,11°,雾~多云,东北风1级,64 良
2024-03-15 周五,15°,14°,小雨~阴,西南风1级,91 良
2024-03-16 周六,18°,15°,雾~小雨,东北风1级,82 良
2024-03-17 周日,15°,10°,中雨,北风3级,66 良
2024-03-18 周一,9°,7°,大雨~晴,北风4级,48 优
2024-03-19 周二,18°,8°,雾~晴,东北风2级,50 优
2024-03-20 周三,21°,11°,阴~多云,东南风1级,84 良
2024-03-21 周四,20°,14°,阴~多云,南风4级,71 良
2024-03-22 周五,24°,20°,阴~小雨,南风4级,54 良
2024-03-23 周六,30°,15°,小雨~中雨,南风5级,37 优
2024-03-24 周日,18°,12°,雾~大雨,北风2级,47 优
2024-03-25 周一,13°,8°,中雨~晴,东北风4级,34 优
2024-03-26 周二,18°,12°,雾~小雨,东北风2级,43 优
2024-03-27 周三,16°,15°,雾~中雨,西南风1级,51 良
2024-03-28 周四,23°,15°,雾~晴,西南风2级,42 优
2024-03-29 周五,29°,22°,多云,南风4级,39 优
2024-03-30 周六,29°,19°,多云~中雨,南风3级,44 优
2024-03-31 周日,27°,18°,雾~阴,东北风2级,38 优
