日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,25°,16°,多云,东南风1级,84 良
2024-01-02 周二,22°,14°,小雨,南风2级,50 优
2024-01-03 周三,16°,13°,小雨~晴,东北风2级,23 优
2024-01-04 周四,20°,13°,阴~小雨,东风1级,40 优
2024-01-05 周五,23°,14°,小雨~多云,东南风1级,74 良
2024-01-06 周六,23°,11°,阴~中雨,东北风2级,84 良
2024-01-07 周日,15°,11°,阴~中雨,东南风1级,87 良
2024-01-08 周一,22°,18°,阴~小雨,东南风2级,59 良
2024-01-09 周二,21°,15°,雾~小雨,东北风2级,58 良
2024-01-10 周三,18°,14°,小雨~中雨,东北风2级,22 优
2024-01-11 周四,16°,14°,中雨~小雨,东北风2级,24 优
2024-01-12 周五,16°,15°,中雨~小雨,东北风2级,18 优
2024-01-13 周六,17°,16°,小雨~阴,东北风1级,33 优
2024-01-14 周日,20°,16°,雾~多云,东北风1级,52 良
2024-01-15 周一,22°,17°,雾~多云,东南风1级,45 优
2024-01-16 周二,22°,17°,雾~阴,东南风2级,39 优
2024-01-17 周三,21°,17°,雾~多云,东南风3级,41 优
2024-01-18 周四,22°,17°,阴~多云,南风2级,47 优
2024-01-19 周五,24°,15°,阴~小雨,西南风2级,48 优
2024-01-20 周六,20°,11°,雾~小雨,东北风2级,44 优
2024-01-21 周日,11°,8°,阴~小雨,东北风2级,17 优
2024-01-22 周一,8°,5°,雨夹雪~小雨,东北风3级,10 优
2024-01-23 周二,8°,5°,阴,东北风3级,20 优
2024-01-24 周三,7°,5°,晴~阴,东北风2级,38 优
2024-01-25 周四,10°,7°,晴~阴,东北风2级,48 优
2024-01-26 周五,9°,7°,阴~小雨,东北风2级,72 良
2024-01-27 周六,9°,7°,阴~小雨,东北风2级,56 良
2024-01-28 周日,11°,8°,阴~小雨,东北风2级,51 良
2024-01-29 周一,10°,9°,小雨,东北风1级,44 优
2024-01-30 周二,15°,10°,阴~多云,西北风1级,30 优
2024-01-31 周三,19°,17°,小雨~阴,西风1级,51 良
