日期,最高温,最低温,天气,风力风向,空气质量指数
2023-12-01 周五,8°,0°,多云,北风1级,-
2023-12-02 周六,11°,0°,阴,南风1级,-
2023-12-03 周日,13°,1°,晴~阴,东风2级,-
2023-12-04 周一,14°,4°,多云~晴,西南风2级,-
2023-12-05 周二,18°,9°,小雨~多云,西南风2级,-
2023-12-06 周三,16°,6°,多云~晴,西北风4级,-
2023-12-07 周四,21°,10°,晴,西南风4级,-
2023-12-08 周五,25°,12°,晴~阴,西南风4级,-
2023-12-09 周六,23°,11°,阴~小雨,南风3级,-
2023-12-10 周日,12°,5°,小雨,东北风4级,-
2023-12-11 周一,4°,1°,小雨,西北风4级,-
2023-12-12 周二,3°,2°,多云~阴,北风2级,-
2023-12-13 周三,9°,7°,多云~小雨,东南风2级,-
2023-12-14 周四,9°,4°,雾~中雨,西北风2级,-
2023-12-15 周五,1°,-3°,暴雪~雨夹雪,西北风4级,-
2023-12-16 周六,1°,-5°,阴~多云,西北风4级,-
2023-12-17 周日,0°,-3°,多云~阴,东北风3级,-
2023-12-18 周一,1°,-2°,小雪~阴,东北风2级,-
2023-12-19 周二,0°,-2°,阴~多云,北风2级,-
2023-12-20 周三,2°,-5°,雾~晴,东北风3级,-
2023-12-21 周四,-1°,-7°,晴,北风3级,-
2023-12-22 周五,0°,-5°,多云,东北风2级,-
2023-12-23 周六,3°,-3°,阴~晴,东南风1级,-
2023-12-24 周日,6°,-3°,晴,西北风2级,-
2023-12-25 周一,9°,-2°,晴~阴,东南风2级,-
2023-12-26 周二,10°,1°,多云,东南风2级,-
2023-12-27 周三,10°,0°,多云~晴,西北风2级,-
2023-12-28 周四,8°,1°,多云,东北风2级,-
2023-12-29 周五,7°,5°,多云~小雨,东风2级,-
2023-12-30 周六,13°,1°,多云~晴,西风2级,-
2023-12-31 周日,8°,-1°,晴,东北风2级,150 轻度
