日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,36°,25°,阴~晴,东南风1级,35 优
2024-09-02 周一,36°,24°,阴~阵雨,东南风1级,47 优
2024-09-03 周二,37°,26°,阴~晴,东南风2级,46 优
2024-09-04 周三,38°,27°,多云~晴,东风1级,31 优
2024-09-05 周四,37°,22°,多云~阵雨,东北风2级,31 优
2024-09-06 周五,33°,23°,阴~多云,东北风1级,28 优
2024-09-07 周六,34°,23°,阴~阵雨,东南风1级,29 优
2024-09-08 周日,33°,24°,阴~阵雨,东南风1级,33 优
2024-09-09 周一,34°,23°,阴~阵雨,东北风1级,27 优
2024-09-10 周二,35°,24°,阴~晴,东北风1级,26 优
2024-09-11 周三,32°,21°,阴~阵雨,东北风1级,31 优
2024-09-12 周四,33°,20°,阴~晴,东北风1级,34 优
2024-09-13 周五,34°,23°,阴~晴,东南风1级,32 优
2024-09-14 周六,36°,25°,阴~多云,东风1级,34 优
2024-09-15 周日,35°,24°,阴~晴,东风2级,34 优
2024-09-16 周一,34°,24°,阴~晴,东风1级,33 优
2024-09-17 周二,34°,24°,阴~晴,东南风1级,32 优
2024-09-18 周三,35°,24°,阴~晴,东南风1级,37 优
2024-09-19 周四,34°,23°,阴~晴,东北风1级,38 优
2024-09-20 周五,32°,21°,多云,北风2级,30 优
2024-09-21 周六,30°,19°,阴~多云,东北风3级,21 优
2024-09-22 周日,27°,17°,多云~阴,东北风1级,24 优
2024-09-23 周一,30°,17°,多云~晴,东南风1级,34 优
2024-09-24 周二,31°,20°,阴,东北风1级,46 优
2024-09-25 周三,32°,21°,多云~晴,东风1级,47 优
2024-09-26 周四,32°,22°,阴~多云,东南风1级,58 良
2024-09-27 周五,34°,22°,阴,东南风2级,69 良
2024-09-28 周六,26°,22°,暴雨,东北风2级,56 良
2024-09-29 周日,27°,16°,暴雨,北风2级,39 优
2024-09-30 周一,17°,13°,小雨~多云,东北风2级,19 优
