日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,6°,-1°,阴~多云,东北风3级,44 优
2024-03-02 周六,10°,0°,阴~晴,西南风2级,61 良
2024-03-03 周日,15°,6°,晴~小雨,东南风2级,70 良
2024-03-04 周一,12°,9°,小雨,东南风2级,53 良
2024-03-05 周二,10°,6°,小雨,西北风3级,40 优
2024-03-06 周三,10°,0°,阴~晴,北风3级,64 良
2024-03-07 周四,13°,4°,晴~多云,西北风2级,66 良
2024-03-08 周五,12°,2°,阴~多云,北风2级,102 轻度
2024-03-09 周六,13°,3°,多云~晴,东南风2级,91 良
2024-03-10 周日,16°,8°,多云~阴,东南风3级,73 良
2024-03-11 周一,19°,9°,阴~晴,西南风3级,61 良
2024-03-12 周二,15°,2°,阴~多云,北风3级,93 良
2024-03-13 周三,16°,8°,多云~阴,东南风3级,50 优
2024-03-14 周四,13°,7°,小雨~多云,东北风2级,74 良
2024-03-15 周五,20°,11°,阴~多云,东南风3级,85 良
2024-03-16 周六,23°,12°,多云~小雨,西南风1级,72 良
2024-03-17 周日,12°,6°,小雨~阴,东北风3级,80 良
2024-03-18 周一,10°,4°,阴~多云,东风2级,65 良
2024-03-19 周二,17°,5°,晴,西北风3级,65 良
2024-03-20 周三,18°,5°,晴,北风2级,73 良
2024-03-21 周四,22°,13°,多云~晴,东南风4级,67 良
2024-03-22 周五,26°,16°,晴~中雨,西南风2级,61 良
2024-03-23 周六,21°,14°,小雨,东风3级,96 良
2024-03-24 周日,16°,14°,阴~大雨,东北风2级,64 良
2024-03-25 周一,14°,8°,小雨~阴,西北风3级,60 良
2024-03-26 周二,15°,8°,阴~多云,西北风2级,40 优
2024-03-27 周三,13°,11°,小雨,东南风3级,71 良
2024-03-28 周四,15°,13°,多云~晴,西北风3级,69 良
2024-03-29 周五,29°,13°,多云,西南风3级,46 优
2024-03-30 周六,31°,13°,阴,西南风1级,65 良
2024-03-31 周日,20°,11°,多云,东北风2级,91 良
