日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,22°,16°,阴~多云,东北风4级,30 优
2024-10-02 周三,25°,16°,阴~多云,北风3级,63 良
2024-10-03 周四,22°,16°,阴~晴,北风3级,66 良
2024-10-04 周五,26°,18°,多云~阴,北风2级,82 良
2024-10-05 周六,27°,19°,多云~阴,北风2级,84 良
2024-10-06 周日,26°,19°,多云~阴,东北风3级,63 良
2024-10-07 周一,20°,15°,阴~晴,北风2级,46 优
2024-10-08 周二,26°,15°,多云,东北风3级,58 良
2024-10-09 周三,28°,16°,晴,西风1级,74 良
2024-10-10 周四,31°,18°,阴~多云,东风1级,103 轻度
2024-10-11 周五,30°,21°,多云~阴,东北风1级,147 轻度
2024-10-12 周六,23°,19°,多云~阴,北风2级,99 良
2024-10-13 周日,22°,16°,小雨,西北风2级,53 良
2024-10-14 周一,19°,17°,雾~多云,南风微风,40 优
2024-10-15 周二,21°,19°,雾~小雨,东北风1级,51 良
2024-10-16 周三,22°,19°,小雨,东北风2级,67 良
2024-10-17 周四,21°,19°,大雨~小雨,西南风1级,45 优
2024-10-18 周五,29°,19°,雾~晴,北风2级,22 优
2024-10-19 周六,19°,13°,小雨,东北风4级,25 优
2024-10-20 周日,12°,11°,阴,北风3级,44 优
2024-10-21 周一,15°,9°,阵雨~中雨,北风1级,16 优
2024-10-22 周二,18°,13°,雾~晴,北风3级,27 优
2024-10-23 周三,22°,12°,雾~晴,东北风1级,36 优
2024-10-24 周四,24°,14°,阴~多云,东北风2级,48 优
2024-10-25 周五,25°,15°,阴~晴,东北风3级,67 良
2024-10-26 周六,21°,15°,多云~阴,东北风3级,55 良
2024-10-27 周日,22°,17°,阴~多云,东北风3级,60 良
2024-10-28 周一,22°,13°,阴~晴,东北风2级,76 良
2024-10-29 周二,24°,13°,晴,东风1级,82 良
2024-10-30 周三,24°,13°,多云~晴,东北风2级,74 良
2024-10-31 周四,24°,15°,阴~晴,东北风3级,66 良
