日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,28°,19°,阴~多云,东南风2级,35 优
2024-08-02 周五,27°,17°,阴~中雨,东北风1级,43 优
2024-08-03 周六,26°,16°,阴~晴,南风1级,33 优
2024-08-04 周日,28°,18°,晴,东南风2级,34 优
2024-08-05 周一,28°,17°,多云,东南风3级,31 优
2024-08-06 周二,27°,18°,阴~中雨,东南风3级,34 优
2024-08-07 周三,26°,19°,阴~小雨,东风1级,30 优
2024-08-08 周四,22°,18°,小雨~大雨,东南风4级,32 优
2024-08-09 周五,26°,16°,阴~多云,西北风4级,48 优
2024-08-10 周六,28°,13°,阴~晴,西北风3级,132 轻度
2024-08-11 周日,29°,15°,晴,北风2级,53 良
2024-08-12 周一,27°,15°,晴,东南风2级,40 优
2024-08-13 周二,27°,16°,晴~多云,东南风3级,39 优
2024-08-14 周三,25°,17°,小雨~大雨,东风2级,43 优
2024-08-15 周四,23°,17°,小雨~多云,东风1级,60 良
2024-08-16 周五,24°,15°,阴~晴,东南风2级,53 良
2024-08-17 周六,24°,13°,小雨~多云,东南风1级,41 优
2024-08-18 周日,28°,13°,多云~晴,东南风2级,32 优
2024-08-19 周一,29°,13°,晴~多云,北风1级,36 优
2024-08-20 周二,28°,15°,阴~多云,东风1级,36 优
2024-08-21 周三,26°,15°,多云~晴,东南风2级,42 优
2024-08-22 周四,27°,18°,多云,东南风3级,47 优
2024-08-23 周五,27°,19°,小雨~晴,东南风3级,50 优
2024-08-24 周六,28°,20°,多云~阴,东南风4级,52 良
2024-08-25 周日,26°,19°,多云~小雨,西南风2级,48 优
2024-08-26 周一,25°,14°,阴~晴,西北风4级,36 优
2024-08-27 周二,25°,15°,多云,东南风3级,34 优
2024-08-28 周三,20°,17°,阴,东南风3级,44 优
2024-08-29 周四,26°,17°,多云,东南风3级,51 良
2024-08-30 周五,25°,18°,阴~多云,东南风3级,47 优
2024-08-31 周六,26°,20°,雾~小雨,西北风1级,53 良
