日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,23°,11°,阴~多云,北风1级,36 优
2024-07-02 周二,22°,11°,阴~小雨,东风2级,33 优
2024-07-03 周三,25°,12°,阴~多云,西北风1级,37 优
2024-07-04 周四,21°,11°,中雨~小雨,东风1级,28 优
2024-07-05 周五,23°,12°,阴~多云,北风1级,46 优
2024-07-06 周六,21°,13°,阴~小雨,东风1级,48 优
2024-07-07 周日,21°,14°,阴~小雨,东南风3级,52 良
2024-07-08 周一,20°,13°,雾~阴,东风3级,53 良
2024-07-09 周二,23°,13°,多云,东南风2级,53 良
2024-07-10 周三,25°,14°,阴~小雨,西北风1级,49 优
2024-07-11 周四,26°,14°,小雨,东风2级,56 良
2024-07-12 周五,17°,13°,小雨,东南风2级,49 优
2024-07-13 周六,20°,13°,雾~多云,东南风2级,52 良
2024-07-14 周日,23°,16°,阴~多云,东风1级,41 优
2024-07-15 周一,26°,16°,多云,东南风2级,48 优
2024-07-16 周二,25°,14°,阴~小雨,东风2级,40 优
2024-07-17 周三,29°,15°,多云,东风2级,42 优
2024-07-18 周四,29°,15°,多云,东风2级,44 优
2024-07-19 周五,31°,16°,晴,西北风1级,44 优
2024-07-20 周六,32°,16°,阴~小雨,东风2级,45 优
2024-07-21 周日,26°,16°,多云~小雨,东南风3级,229 重度
2024-07-22 周一,21°,16°,小雨~中雨,东风2级,60 良
2024-07-23 周二,18°,13°,阴~小雨,东南风1级,47 优
2024-07-24 周三,25°,12°,阴~晴,东南风3级,81 良
2024-07-25 周四,27°,14°,多云,东风2级,55 良
2024-07-26 周五,26°,15°,阴~小雨,东风3级,56 良
2024-07-27 周六,28°,15°,阴~多云,东南风2级,51 良
2024-07-28 周日,22°,13°,阴~小雨,西风1级,41 优
2024-07-29 周一,24°,12°,阴~多云,西北风2级,36 优
2024-07-30 周二,28°,12°,小雨~多云,西北风2级,41 优
2024-07-31 周三,30°,13°,晴~多云,西北风2级,44 优
