日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,11°,3°,小雨~多云,东北风2级,88 良
2024-01-02 周二,16°,1°,晴~阴,东北风3级,49 优
2024-01-03 周三,14°,1°,阴,东南风1级,63 良
2024-01-04 周四,13°,3°,阴,北风微风,101 轻度
2024-01-05 周五,12°,3°,阴,北风1级,78 良
2024-01-06 周六,12°,0°,小雨~阴,东南风1级,62 良
2024-01-07 周日,10°,1°,多云~阴,东北风1级,71 良
2024-01-08 周一,12°,4°,阴~多云,西南风1级,78 良
2024-01-09 周二,18°,4°,雾~晴,北风1级,76 良
2024-01-10 周三,13°,6°,多云~晴,东南风1级,67 良
2024-01-11 周四,15°,3°,雾~晴,西南风1级,81 良
2024-01-12 周五,10°,4°,多云~阴,南风1级,118 轻度
2024-01-13 周六,9°,4°,多云~晴,西南风1级,139 轻度
2024-01-14 周日,14°,5°,阴~小雨,东北风1级,94 良
2024-01-15 周一,9°,5°,阴~小雨,北风2级,53 良
2024-01-16 周二,7°,4°,小雨~阴,东北风2级,36 优
2024-01-17 周三,11°,3°,雾~阴,北风1级,29 优
2024-01-18 周四,9°,5°,阴~小雨,北风2级,42 优
2024-01-19 周五,9°,4°,阴,东北风2级,25 优
2024-01-20 周六,10°,5°,阴~小雨,东北风1级,42 优
2024-01-21 周日,5°,0°,阴,东北风4级,43 优
2024-01-22 周一,3°,-1°,阴~雨夹雪,东北风1级,41 优
2024-01-23 周二,1°,0°,冻雨~阴,北风2级,45 优
2024-01-24 周三,5°,-2°,阴~多云,北风2级,36 优
2024-01-25 周四,8°,-1°,阴~多云,北风1级,40 优
2024-01-26 周五,9°,0°,晴,南风1级,51 良
2024-01-27 周六,9°,1°,雾~晴,西南风1级,55 良
2024-01-28 周日,8°,1°,阴,南风2级,57 良
2024-01-29 周一,6°,2°,阴,南风2级,75 良
2024-01-30 周二,10°,4°,多云,西北风1级,75 良
2024-01-31 周三,8°,4°,阴~小雨,东北风1级,55 良
