日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,17°,15°,小雨,东北风1级,18 优
2024-05-02 周四,17°,15°,雾~小雨,东北风2级,21 优
2024-05-03 周五,19°,16°,雾~小雨,东北风1级,23 优
2024-05-04 周六,22°,14°,阴~晴,西南风1级,26 优
2024-05-05 周日,27°,18°,雾~阴,东风1级,50 优
2024-05-06 周一,29°,17°,阴~小雨,东南风1级,96 良
2024-05-07 周二,29°,20°,多云~阴,西南风2级,132 轻度
2024-05-08 周三,29°,19°,阴~小雨,西南风1级,82 良
2024-05-09 周四,26°,19°,雾~小雨,东南风1级,61 良
2024-05-10 周五,20°,19°,小雨~阴,东北风1级,39 优
2024-05-11 周六,24°,17°,雾~多云,西北风2级,45 优
2024-05-12 周日,24°,17°,阴~多云,西南风3级,62 良
2024-05-13 周一,29°,18°,雾~多云,东南风1级,59 良
2024-05-14 周二,27°,17°,阴~多云,东风2级,57 良
2024-05-15 周三,31°,20°,多云~阴,东风1级,49 优
2024-05-16 周四,32°,20°,阴,东南风1级,58 良
2024-05-17 周五,31°,20°,多云~小雨,东北风1级,60 良
2024-05-18 周六,26°,19°,中雨~小雨,西北风1级,56 良
2024-05-19 周日,25°,19°,小雨,北风2级,34 优
2024-05-20 周一,26°,19°,阴~小雨,东北风3级,26 优
2024-05-21 周二,29°,20°,阴~晴,东风2级,32 优
2024-05-22 周三,31°,19°,多云~晴,东南风1级,43 优
2024-05-23 周四,33°,20°,晴,东南风1级,50 优
2024-05-24 周五,35°,22°,晴~多云,东南风2级,54 良
2024-05-25 周六,36°,23°,阴~大雨,东南风2级,44 优
2024-05-26 周日,30°,22°,阴~多云,西南风1级,33 优
2024-05-27 周一,31°,23°,雾~阴,东风1级,43 优
2024-05-28 周二,25°,18°,小雨,东北风2级,39 优
2024-05-29 周三,17°,16°,小雨~阴,东北风2级,33 优
2024-05-30 周四,26°,18°,雾~多云,西南风1级,32 优
2024-05-31 周五,29°,21°,阴,东北风1级,52 良
