日期,最高温,最低温,天气,风力风向,空气质量指数
2024-04-01 周一,28°,24°,阴~多云,南风4级,48 优
2024-04-02 周二,30°,25°,阴~多云,南风4级,53 良
2024-04-03 周三,28°,24°,阴~雷阵雨,南风4级,35 优
2024-04-04 周四,29°,23°,阴~大雨,南风3级,37 优
2024-04-05 周五,24°,21°,阴~暴雨,西南风1级,23 优
2024-04-06 周六,22°,20°,阴~大雨,东南风3级,28 优
2024-04-07 周日,22°,20°,阴~中雨,西北风1级,22 优
2024-04-08 周一,21°,20°,阴~阵雨,西北风2级,24 优
2024-04-09 周二,25°,19°,多云,东北风2级,28 优
2024-04-10 周三,28°,21°,阴~多云,东南风1级,53 良
2024-04-11 周四,30°,21°,阴~多云,南风2级,57 良
2024-04-12 周五,29°,22°,阴~多云,南风2级,54 良
2024-04-13 周六,31°,22°,阴~多云,南风3级,56 良
2024-04-14 周日,30°,23°,阴~多云,东南风3级,39 优
2024-04-15 周一,31°,23°,阴~多云,南风3级,41 优
2024-04-16 周二,33°,23°,阴~多云,西南风3级,40 优
2024-04-17 周三,32°,23°,阴~中雨,西南风3级,37 优
2024-04-18 周四,27°,23°,暴雨~中雨,西南风2级,36 优
2024-04-19 周五,27°,23°,小雨~中雨,南风4级,33 优
2024-04-20 周六,27°,23°,大暴雨~暴雨,南风4级,26 优
2024-04-21 周日,22°,21°,大雨~暴雨,东南风2级,22 优
2024-04-22 周一,26°,22°,小雨~中雨,西南风1级,38 优
2024-04-23 周二,27°,23°,暴雨~雷阵雨,西北风1级,33 优
2024-04-24 周三,27°,22°,阴~大雨,东北风1级,42 优
2024-04-25 周四,30°,22°,小雨~大雨,西南风4级,24 优
2024-04-26 周五,29°,22°,中雨~雷阵雨,西南风2级,34 优
2024-04-27 周六,29°,23°,中雨,南风3级,40 优
2024-04-28 周日,25°,23°,暴雨~中雨,南风3级,29 优
2024-04-29 周一,28°,22°,小雨~中雨,南风3级,29 优
2024-04-30 周二,27°,23°,小雨~中雨,西南风3级,28 优
