日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,19°,6°,多云,西北风4级,20 优
2024-10-02 周三,20°,6°,晴,西风2级,24 优
2024-10-03 周四,23°,9°,晴,西南风2级,46 优
2024-10-04 周五,24°,9°,多云~晴,西南风3级,78 良
2024-10-05 周六,23°,15°,阴~多云,西南风2级,97 良
2024-10-06 周日,19°,9°,多云~阴,东北风1级,104 轻度
2024-10-07 周一,22°,8°,晴,北风2级,34 优
2024-10-08 周二,23°,12°,晴~多云,西北风1级,45 优
2024-10-09 周三,19°,12°,多云,西南风2级,132 轻度
2024-10-10 周四,22°,9°,晴,西北风2级,46 优
2024-10-11 周五,24°,8°,晴,西南风2级,81 良
2024-10-12 周六,26°,14°,雾~多云,东南风2级,131 轻度
2024-10-13 周日,19°,13°,多云~小雨,东北风1级,128 轻度
2024-10-14 周一,21°,13°,多云,西南风3级,154 中度
2024-10-15 周二,22°,10°,阴~多云,东北风3级,76 良
2024-10-16 周三,20°,14°,多云~阴,西南风2级,55 良
2024-10-17 周四,18°,15°,阴~小雨,东北风2级,63 良
2024-10-18 周五,17°,4°,小雨~多云,东北风3级,55 良
2024-10-19 周六,13°,0°,晴,东南风2级,32 优
2024-10-20 周日,11°,2°,阴,南风2级,40 优
2024-10-21 周一,13°,6°,阴~小雨,西南风2级,67 良
2024-10-22 周二,16°,3°,阴~晴,北风3级,43 优
2024-10-23 周三,19°,5°,雾~晴,西南风3级,67 良
2024-10-24 周四,22°,7°,多云~雾,东北风1级,144 轻度
2024-10-25 周五,21°,8°,小雨~多云,西南风2级,156 中度
2024-10-26 周六,18°,10°,多云~阴,东北风1级,218 重度
2024-10-27 周日,19°,5°,多云~晴,东北风3级,74 良
2024-10-28 周一,19°,6°,雾~晴,西南风2级,79 良
2024-10-29 周二,20°,8°,多云~晴,西南风2级,128 轻度
2024-10-30 周三,18°,11°,多云,东南风2级,146 轻度
2024-10-31 周四,18°,9°,小雨~多云,西南风2级,138 轻度
