日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,12°,2°,小雨~晴,东风1级,34 优
2024-11-02 周六,14°,5°,小雨~多云,西南风2级,28 优
2024-11-03 周日,15°,0°,雾~阴,北风3级,41 优
2024-11-04 周一,14°,0°,阴~晴,东南风2级,41 优
2024-11-05 周二,15°,0°,晴,东北风2级,45 优
2024-11-06 周三,17°,4°,多云~晴,西南风3级,54 良
2024-11-07 周四,17°,4°,雾~晴,西南风3级,61 良
2024-11-08 周五,18°,4°,雾~晴,南风3级,73 良
2024-11-09 周六,15°,3°,雾~多云,西南风2级,81 良
2024-11-10 周日,17°,7°,雾~小雨,东南风1级,75 良
2024-11-11 周一,12°,3°,小雨~阴,西北风1级,74 良
2024-11-12 周二,8°,7°,小雨,东北风1级,52 良
2024-11-13 周三,11°,6°,小雨,西南风1级,37 优
2024-11-14 周四,11°,3°,阴~小雨,东风1级,38 优
2024-11-15 周五,11°,0°,雾~阴,西北风2级,70 良
2024-11-16 周六,7°,-2°,阴,北风3级,62 良
2024-11-17 周日,6°,0°,阴~雨夹雪,东北风2级,43 优
2024-11-18 周一,1°,0°,大雪~雨夹雪,东南风3级,52 良
2024-11-19 周二,3°,-3°,雾~多云,西南风1级,38 优
2024-11-20 周三,4°,-3°,雾~多云,西北风1级,45 优
2024-11-21 周四,6°,-1°,雾~多云,东北风1级,52 良
2024-11-22 周五,8°,-2°,小雪~多云,南风2级,64 良
2024-11-23 周六,8°,0°,雾~阴,东南风2级,82 良
2024-11-24 周日,3°,-6°,中雪~小雪,西北风2级,78 良
2024-11-25 周一,1°,-8°,晴,西北风4级,53 良
2024-11-26 周二,3°,-6°,晴,西北风4级,49 优
2024-11-27 周三,5°,-4°,晴,西北风4级,62 良
2024-11-28 周四,6°,-2°,晴,西北风5级,47 优
2024-11-29 周五,10°,-4°,晴~多云,西北风2级,44 优
2024-11-30 周六,10°,-4°,多云~晴,西北风2级,46 优
