日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,7°,1°,阴~多云,东南风1级,91 良
2024-03-02 周六,13°,1°,雾~晴,西南风4级,100 良
2024-03-03 周日,14°,6°,雾~阴,南风3级,97 良
2024-03-04 周一,7°,5°,多云~阴,东北风3级,107 轻度
2024-03-05 周二,8°,4°,阴,东北风4级,115 轻度
2024-03-06 周三,7°,0°,阴~多云,东北风3级,90 良
2024-03-07 周四,16°,0°,雾~晴,西北风4级,96 良
2024-03-08 周五,13°,0°,多云~阴,东北风1级,54 良
2024-03-09 周六,15°,2°,晴~多云,南风3级,68 良
2024-03-10 周日,18°,6°,阴~多云,西南风3级,79 良
2024-03-11 周一,23°,4°,晴,西北风4级,85 良
2024-03-12 周二,16°,6°,晴~阴,东北风3级,105 轻度
2024-03-13 周三,18°,5°,阴~晴,西南风3级,108 轻度
2024-03-14 周四,21°,6°,雾~晴,南风2级,114 轻度
2024-03-15 周五,19°,11°,雾~多云,东南风3级,81 良
2024-03-16 周六,22°,11°,阴,西风2级,115 轻度
2024-03-17 周日,16°,8°,阴,东北风4级,109 轻度
2024-03-18 周一,15°,5°,阴~晴,西南风3级,76 良
2024-03-19 周二,20°,6°,晴,西北风3级,102 轻度
2024-03-20 周三,19°,9°,多云~晴,东风2级,91 良
2024-03-21 周四,23°,11°,多云,西南风4级,102 轻度
2024-03-22 周五,21°,13°,阴~小雨,东北风3级,107 轻度
2024-03-23 周六,14°,9°,小雨,东北风3级,101 轻度
2024-03-24 周日,12°,4°,雾~小雨,东北风3级,46 优
2024-03-25 周一,13°,3°,阴~多云,东北风3级,43 优
2024-03-26 周二,18°,9°,阴,西南风3级,60 良
2024-03-27 周三,17°,9°,阴,南风3级,44 优
2024-03-28 周四,24°,8°,小雨~晴,西风1级,73 良
2024-03-29 周五,26°,14°,小雨~多云,西南风1级,77 良
2024-03-30 周六,23°,9°,多云,东北风4级,99 良
2024-03-31 周日,25°,13°,晴~阴,西南风3级,84 良
