日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,31°,20°,阴~晴,西南风1级,28 优
2024-08-02 周五,32°,22°,大雨~雷阵雨,东南风2级,32 优
2024-08-03 周六,28°,20°,阴~中雨,南风1级,32 优
2024-08-04 周日,31°,19°,多云,西南风1级,37 优
2024-08-05 周一,31°,18°,晴,西南风1级,34 优
2024-08-06 周二,31°,20°,阴~多云,东南风2级,34 优
2024-08-07 周三,30°,19°,阴~多云,东南风2级,40 优
2024-08-08 周四,32°,21°,晴~雷阵雨,东南风2级,38 优
2024-08-09 周五,25°,19°,中雨~雷阵雨,东南风3级,36 优
2024-08-10 周六,26°,20°,阴,西风3级,48 优
2024-08-11 周日,26°,19°,小雨~阴,西北风3级,25 优
2024-08-12 周一,25°,17°,阴~多云,北风3级,24 优
2024-08-13 周二,27°,17°,阴~雷阵雨,南风1级,24 优
2024-08-14 周三,28°,18°,阴,东南风2级,31 优
2024-08-15 周四,31°,20°,阴,西南风1级,39 优
2024-08-16 周五,27°,19°,小雨~阴,南风1级,40 优
2024-08-17 周六,29°,19°,阴~雷阵雨,东南风1级,35 优
2024-08-18 周日,29°,18°,阴,南风1级,35 优
2024-08-19 周一,26°,18°,阴~雷阵雨,东南风2级,35 优
2024-08-20 周二,26°,18°,小雨~雷阵雨,西南风1级,26 优
2024-08-21 周三,27°,18°,多云,西北风1级,26 优
2024-08-22 周四,30°,20°,阴~多云,西北风2级,24 优
2024-08-23 周五,32°,18°,小雨~多云,南风1级,33 优
2024-08-24 周六,32°,17°,小雨~多云,西风1级,35 优
2024-08-25 周日,27°,18°,阴~中雨,西南风1级,29 优
2024-08-26 周一,22°,10°,中雨~多云,东南风1级,31 优
2024-08-27 周二,26°,15°,晴,西南风1级,27 优
2024-08-28 周三,26°,14°,阴~晴,东南风1级,30 优
2024-08-29 周四,29°,17°,多云,东南风1级,39 优
2024-08-30 周五,32°,20°,晴~多云,西北风1级,41 优
2024-08-31 周六,29°,17°,多云~雷阵雨,东南风3级,46 优
