日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,32°,18°,阴~小雨,西北风3级,43 优
2024-08-02 周五,24°,15°,小雨~多云,东南风2级,26 优
2024-08-03 周六,34°,17°,晴~多云,北风2级,33 优
2024-08-04 周日,37°,18°,多云,东北风1级,33 优
2024-08-05 周一,38°,19°,晴~阴,东北风1级,42 优
2024-08-06 周二,32°,19°,阴~晴,东南风3级,40 优
2024-08-07 周三,38°,18°,多云,东南风3级,35 优
2024-08-08 周四,25°,16°,扬沙~小雨,西北风5级,169 中度
2024-08-09 周五,25°,14°,阴~晴,西北风5级,141 轻度
2024-08-10 周六,32°,15°,晴,西北风2级,32 优
2024-08-11 周日,35°,17°,晴,东南风2级,36 优
2024-08-12 周一,36°,18°,多云,东北风1级,48 优
2024-08-13 周二,26°,14°,小雨~多云,西南风2级,49 优
2024-08-14 周三,31°,13°,阴~小雨,西北风3级,53 良
2024-08-15 周四,29°,15°,晴,西北风1级,38 优
2024-08-16 周五,31°,15°,多云~晴,东北风1级,38 优
2024-08-17 周六,32°,14°,晴,北风3级,35 优
2024-08-18 周日,34°,17°,晴,东北风1级,36 优
2024-08-19 周一,35°,14°,晴,东南风2级,36 优
2024-08-20 周二,34°,16°,晴,东南风1级,43 优
2024-08-21 周三,33°,19°,晴~多云,东北风1级,39 优
2024-08-22 周四,27°,16°,阴~多云,西北风1级,45 优
2024-08-23 周五,36°,19°,多云~小雨,东南风2级,48 优
2024-08-24 周六,35°,16°,阴~小雨,东北风1级,123 轻度
2024-08-25 周日,27°,17°,阴~晴,西北风4级,91 良
2024-08-26 周一,32°,18°,多云,东风2级,78 良
2024-08-27 周二,31°,17°,多云,西北风2级,50 优
2024-08-28 周三,33°,19°,阴~多云,北风2级,68 良
2024-08-29 周四,33°,20°,阴~多云,东北风1级,50 优
2024-08-30 周五,34°,18°,阴~小雨,西北风4级,101 轻度
2024-08-31 周六,21°,15°,小雨,西北风3级,69 良
