日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,35°,24°,阴~中雨,东南风2级,57 良
2024-07-02 周二,27°,19°,小雨~晴,西北风3级,52 良
2024-07-03 周三,34°,24°,阴~暴雨,西南风2级,57 良
2024-07-04 周四,26°,24°,中雨,西南风3级,28 优
2024-07-05 周五,36°,25°,阴~大雨,西南风3级,30 优
2024-07-06 周六,31°,25°,阴~暴雨,西南风3级,23 优
2024-07-07 周日,36°,25°,阴~暴雨,西南风3级,37 优
2024-07-08 周一,28°,24°,雾~大暴雨,东北风2级,33 优
2024-07-09 周二,26°,23°,小雨~多云,北风2级,29 优
2024-07-10 周三,30°,23°,阴,西北风1级,74 良
2024-07-11 周四,31°,20°,阴~晴,西南风2级,86 良
2024-07-12 周五,31°,24°,阴,东南风2级,76 良
2024-07-13 周六,32°,23°,阴~多云,东北风3级,52 良
2024-07-14 周日,32°,24°,阴,东风2级,30 优
2024-07-15 周一,28°,26°,多云~暴雨,南风2级,37 优
2024-07-16 周二,29°,25°,中雨~大暴雨,西南风3级,48 优
2024-07-17 周三,26°,24°,暴雨,南风2级,28 优
2024-07-18 周四,31°,25°,阴~中雨,西南风3级,27 优
2024-07-19 周五,34°,26°,阴~大雨,西南风3级,46 优
2024-07-20 周六,29°,27°,大暴雨~多云,西南风3级,29 优
2024-07-21 周日,36°,29°,阴~多云,西南风3级,35 优
2024-07-22 周一,37°,30°,阴,西南风3级,43 优
2024-07-23 周二,37°,29°,多云~阴,西南风2级,47 优
2024-07-24 周三,37°,29°,多云~阴,东南风3级,71 良
2024-07-25 周四,34°,27°,阴~多云,东南风3级,37 优
2024-07-26 周五,34°,27°,阴~中雨,东风4级,28 优
2024-07-27 周六,29°,26°,暴雨~中雨,东南风3级,22 优
2024-07-28 周日,32°,28°,阴~多云,南风3级,26 优
2024-07-29 周一,35°,27°,阴~晴,南风3级,29 优
2024-07-30 周二,36°,29°,阴~晴,南风3级,31 优
2024-07-31 周三,36°,28°,阴,西南风3级,34 优
