日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,4°,-7°,多云~晴,南风2级,119 轻度
2024-01-02 周二,5°,-8°,多云~晴,西风1级,216 重度
2024-01-03 周三,6°,-6°,晴,南风1级,176 中度
2024-01-04 周四,9°,-6°,晴~多云,西南风2级,115 轻度
2024-01-05 周五,6°,-6°,阴~多云,东北风1级,108 轻度
2024-01-06 周六,5°,-8°,晴,北风3级,67 良
2024-01-07 周日,1°,-7°,晴,东风2级,44 优
2024-01-08 周一,4°,-5°,阴~多云,西南风2级,75 良
2024-01-09 周二,2°,-8°,多云~晴,东北风3级,107 轻度
2024-01-10 周三,5°,-3°,雾~晴,西南风3级,59 良
2024-01-11 周四,7°,-6°,多云~晴,西南风1级,182 中度
2024-01-12 周五,8°,-5°,多云~晴,北风1级,260 重度
2024-01-13 周六,0°,-3°,雾~多云,东风1级,288 重度
2024-01-14 周日,2°,-8°,晴,东北风4级,85 良
2024-01-15 周一,4°,-2°,多云~阴,西南风2级,62 良
2024-01-16 周二,1°,-1°,小雪,西南风2级,76 良
2024-01-17 周三,1°,-4°,雾~阴,东北风1级,115 轻度
2024-01-18 周四,3°,-6°,多云,东北风3级,69 良
2024-01-19 周五,1°,-4°,多云,东北风4级,39 优
2024-01-20 周六,0°,-8°,晴~多云,东北风3级,45 优
2024-01-21 周日,-3°,-11°,晴,东北风4级,42 优
2024-01-22 周一,-3°,-13°,晴,西北风2级,26 优
2024-01-23 周二,0°,-9°,雾~晴,西北风3级,39 优
2024-01-24 周三,4°,-7°,晴~多云,西北风1级,52 良
2024-01-25 周四,5°,-7°,晴~多云,西风2级,73 良
2024-01-26 周五,6°,-7°,多云~晴,西北风1级,95 良
2024-01-27 周六,5°,-7°,阴~晴,东北风2级,72 良
2024-01-28 周日,7°,-6°,多云,西南风2级,93 良
2024-01-29 周一,10°,-3°,多云~阴,东南风2级,130 轻度
2024-01-30 周二,1°,-4°,多云~晴,西南风2级,219 重度
2024-01-31 周三,0°,-5°,多云~阴,东北风4级,140 轻度
