日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,25°,13°,阴~多云,东南风1级,32 优
2024-10-02 周三,21°,14°,阴,东南风1级,36 优
2024-10-03 周四,18°,15°,阴,东南风1级,36 优
2024-10-04 周五,21°,14°,阴~小雨,东北风2级,30 优
2024-10-05 周六,20°,15°,阴~小雨,东风1级,41 优
2024-10-06 周日,20°,16°,阴~小雨,东南风1级,51 良
2024-10-07 周一,24°,16°,阴~多云,东南风1级,46 优
2024-10-08 周二,18°,15°,小雨~晴,东北风1级,39 优
2024-10-09 周三,22°,15°,阴~小雨,东北风1级,44 优
2024-10-10 周四,25°,15°,阴~小雨,东风1级,49 优
2024-10-11 周五,19°,15°,小雨,东北风2级,37 优
2024-10-12 周六,20°,15°,阴~多云,东北风2级,30 优
2024-10-13 周日,21°,16°,阴~多云,东南风1级,30 优
2024-10-14 周一,22°,18°,阴,南风2级,52 良
2024-10-15 周二,27°,17°,多云,南风2级,56 良
2024-10-16 周三,23°,17°,小雨,东北风1级,50 优
2024-10-17 周四,25°,15°,阴~晴,西南风1级,30 优
2024-10-18 周五,23°,16°,小雨,东北风1级,43 优
2024-10-19 周六,19°,15°,小雨~中雨,东北风2级,21 优
2024-10-20 周日,19°,14°,小雨~多云,东北风2级,17 优
2024-10-21 周一,19°,13°,阴~晴,东北风2级,18 优
2024-10-22 周二,23°,12°,阴~晴,西南风1级,37 优
2024-10-23 周三,24°,15°,阴,东南风1级,51 良
2024-10-24 周四,21°,17°,阴,东风1级,50 优
2024-10-25 周五,24°,16°,阴~小雨,东北风1级,49 优
2024-10-26 周六,19°,12°,阴~多云,北风2级,35 优
2024-10-27 周日,23°,11°,晴,东北风1级,41 优
2024-10-28 周一,23°,13°,阴~多云,南风1级,52 良
2024-10-29 周二,18°,15°,阴~小雨,东北风1级,55 良
2024-10-30 周三,21°,15°,阴~小雨,东北风1级,53 良
2024-10-31 周四,20°,14°,阴,东北风2级,41 优
