日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,33°,19°,阴~晴,东北风1级,49 优
2024-08-02 周五,33°,20°,阴~小雨,东南风1级,60 良
2024-08-03 周六,27°,19°,小雨,北风1级,45 优
2024-08-04 周日,32°,17°,晴,东北风1级,50 优
2024-08-05 周一,30°,17°,阴~多云,东北风1级,42 优
2024-08-06 周二,32°,19°,多云~小雨,东北风1级,47 优
2024-08-07 周三,24°,18°,小雨,北风1级,36 优
2024-08-08 周四,26°,20°,阴~中雨,东风1级,44 优
2024-08-09 周五,27°,19°,小雨~晴,东南风2级,38 优
2024-08-10 周六,28°,16°,阴~晴,西北风3级,65 良
2024-08-11 周日,26°,16°,阴~多云,西北风3级,31 优
2024-08-12 周一,28°,16°,晴,北风3级,35 优
2024-08-13 周二,28°,17°,阴~晴,东北风1级,37 优
2024-08-14 周三,29°,18°,阴~小雨,东北风1级,38 优
2024-08-15 周四,28°,19°,雾~小雨,东南风1级,49 优
2024-08-16 周五,26°,18°,小雨,北风1级,50 优
2024-08-17 周六,23°,18°,小雨,东风微风,44 优
2024-08-18 周日,29°,15°,雾~晴,东北风微风,52 良
2024-08-19 周一,28°,16°,阴~多云,东北风1级,38 优
2024-08-20 周二,27°,16°,阴~多云,西北风1级,40 优
2024-08-21 周三,28°,16°,晴,西北风1级,41 优
2024-08-22 周四,30°,17°,晴~多云,东北风1级,48 优
2024-08-23 周五,33°,18°,阴~晴,北风微风,57 良
2024-08-24 周六,31°,20°,阴~多云,东北风1级,62 良
2024-08-25 周日,24°,20°,小雨~大雨,北风2级,48 优
2024-08-26 周一,22°,16°,小雨~晴,东北风2级,31 优
2024-08-27 周二,26°,13°,多云~晴,北风1级,36 优
2024-08-28 周三,27°,13°,阴~晴,东北风1级,41 优
2024-08-29 周四,29°,15°,晴,西南风1级,49 优
2024-08-30 周五,32°,17°,多云~晴,东北风1级,55 良
2024-08-31 周六,29°,20°,多云~小雨,东南风1级,63 良
