日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,24°,20°,阴,北风2级,31 优
2024-06-02 周日,26°,19°,阴~小雨,东北风1级,28 优
2024-06-03 周一,20°,19°,小雨,北风1级,28 优
2024-06-04 周二,19°,18°,小雨,北风1级,25 优
2024-06-05 周三,25°,18°,阴~多云,东北风1级,22 优
2024-06-06 周四,27°,18°,阴~多云,东北风1级,24 优
2024-06-07 周五,23°,20°,小雨,西北风1级,30 优
2024-06-08 周六,22°,19°,雾~小雨,北风1级,18 优
2024-06-09 周日,23°,20°,小雨,北风1级,19 优
2024-06-10 周一,25°,21°,阴~小雨,南风1级,19 优
2024-06-11 周二,32°,24°,雾~小雨,西南风1级,20 优
2024-06-12 周三,32°,23°,阴~小雨,西南风1级,20 优
2024-06-13 周四,34°,24°,多云~小雨,西南风1级,27 优
2024-06-14 周五,33°,23°,小雨~多云,西南风1级,21 优
2024-06-15 周六,34°,24°,雾~多云,东北风1级,30 优
2024-06-16 周日,34°,24°,中雨~大雨,东南风1级,33 优
2024-06-17 周一,24°,23°,暴雨~小雨,东北风2级,24 优
2024-06-18 周二,24°,22°,小雨,北风1级,21 优
2024-06-19 周三,26°,23°,小雨~中雨,西南风1级,24 优
2024-06-20 周四,31°,25°,阴,西南风3级,25 优
2024-06-21 周五,32°,25°,阴~中雨,西南风3级,22 优
2024-06-22 周六,31°,24°,小雨~中雨,西南风1级,20 优
2024-06-23 周日,26°,23°,暴雨~大雨,西南风1级,16 优
2024-06-24 周一,24°,20°,暴雨~中雨,西北风2级,20 优
2024-06-25 周二,23°,21°,小雨~中雨,东北风1级,22 优
2024-06-26 周三,21°,19°,小雨~中雨,东北风1级,23 优
2024-06-27 周四,23°,22°,阴~小雨,东风1级,20 优
2024-06-28 周五,31°,24°,阴~小雨,西南风3级,17 优
2024-06-29 周六,24°,23°,大雨,西南风2级,13 优
2024-06-30 周日,29°,22°,阴~暴雨,西南风2级,14 优
