日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,22°,16°,阴,北风1级,21 优
2024-10-02 周三,24°,14°,阴~多云,南风1级,28 优
2024-10-03 周四,22°,17°,阴,南风1级,38 优
2024-10-04 周五,19°,16°,阴~多云,南风1级,43 优
2024-10-05 周六,18°,16°,阴~晴,西北风1级,50 优
2024-10-06 周日,17°,14°,小雨,东南风微风,45 优
2024-10-07 周一,20°,14°,阴~晴,西南风1级,27 优
2024-10-08 周二,21°,14°,阴~多云,东南风1级,34 优
2024-10-09 周三,28°,16°,阴~多云,东风1级,51 良
2024-10-10 周四,21°,18°,阴~多云,西北风1级,62 良
2024-10-11 周五,20°,16°,阴~小雨,西北风1级,72 良
2024-10-12 周六,17°,16°,中雨,西南风1级,63 良
2024-10-13 周日,19°,16°,小雨~多云,南风1级,36 优
2024-10-14 周一,25°,15°,阴~多云,东南风微风,32 优
2024-10-15 周二,23°,16°,阴~多云,南风1级,36 优
2024-10-16 周三,22°,17°,阴~中雨,南风1级,40 优
2024-10-17 周四,20°,16°,中雨~阴,西南风1级,33 优
2024-10-18 周五,28°,17°,晴~阴,东北风1级,29 优
2024-10-19 周六,20°,14°,小雨~中雨,东北风1级,29 优
2024-10-20 周日,15°,14°,中雨~小雨,东北风1级,16 优
2024-10-21 周一,17°,13°,小雨,北风1级,16 优
2024-10-22 周二,24°,15°,小雨~多云,西南风1级,25 优
2024-10-23 周三,25°,14°,阴,东南风1级,26 优
2024-10-24 周四,23°,16°,阴~晴,西北风1级,37 优
2024-10-25 周五,26°,13°,阴~晴,北风1级,47 优
2024-10-26 周六,23°,13°,阴,东北风1级,46 优
2024-10-27 周日,20°,12°,阴~晴,北风1级,52 良
2024-10-28 周一,24°,13°,晴,东南风1级,55 良
2024-10-29 周二,25°,13°,晴~多云,东南风微风,54 良
2024-10-30 周三,25°,13°,晴,东南风1级,55 良
2024-10-31 周四,24°,14°,阴~晴,东北风微风,65 良
