日期,最高温,最低温,天气,风力风向,空气质量指数
2024-10-01 周二,24°,13°,阴,东南风2级,30 优
2024-10-02 周三,21°,13°,阴,东南风1级,30 优
2024-10-03 周四,18°,15°,阴~小雨,东南风1级,25 优
2024-10-04 周五,20°,14°,阴~小雨,东北风2级,31 优
2024-10-05 周六,20°,15°,阴~中雨,东南风1级,39 优
2024-10-06 周日,19°,16°,阴~小雨,南风1级,55 良
2024-10-07 周一,22°,16°,阴~多云,东南风1级,39 优
2024-10-08 周二,20°,16°,多云,东南风1级,42 优
2024-10-09 周三,22°,15°,多云~小雨,东北风1级,61 良
2024-10-10 周四,23°,16°,阴~小雨,西北风1级,50 优
2024-10-11 周五,19°,16°,阴~小雨,东北风1级,37 优
2024-10-12 周六,20°,15°,阴,东北风1级,38 优
2024-10-13 周日,22°,16°,阴~多云,东南风1级,45 优
2024-10-14 周一,24°,17°,阴~多云,东南风2级,59 良
2024-10-15 周二,27°,16°,阴~多云,南风2级,70 良
2024-10-16 周三,22°,17°,阴~小雨,西北风1级,76 良
2024-10-17 周四,25°,16°,阴~晴,东南风1级,32 优
2024-10-18 周五,23°,16°,小雨~中雨,北风1级,42 优
2024-10-19 周六,19°,15°,小雨,北风2级,33 优
2024-10-20 周日,18°,15°,小雨,东北风2级,16 优
2024-10-21 周一,20°,13°,阴~多云,东北风2级,21 优
2024-10-22 周二,24°,12°,阴~晴,西南风2级,37 优
2024-10-23 周三,24°,15°,多云~阴,东南风1级,54 良
2024-10-24 周四,21°,17°,小雨,东南风1级,59 良
2024-10-25 周五,23°,16°,阴~小雨,东北风1级,56 良
2024-10-26 周六,18°,12°,阴~晴,北风2级,35 优
2024-10-27 周日,24°,11°,晴,南风1级,37 优
2024-10-28 周一,25°,12°,小雨~阴,东南风1级,42 优
2024-10-29 周二,19°,15°,阴~小雨,东北风1级,62 良
2024-10-30 周三,21°,16°,阴~小雨,东北风1级,57 良
2024-10-31 周四,19°,15°,阴,东北风2级,49 优
