日期,最高温,最低温,天气,风力风向,空气质量指数
2024-05-01 周三,22°,11°,阴,东北风2级,43 优
2024-05-02 周四,23°,11°,雾~多云,东风3级,46 优
2024-05-03 周五,22°,15°,阴~小雨,东南风3级,51 良
2024-05-04 周六,20°,17°,阴~大雨,东南风3级,48 优
2024-05-05 周日,18°,15°,小雨~多云,西风3级,36 优
2024-05-06 周一,26°,14°,阴~多云,西风3级,51 良
2024-05-07 周二,27°,14°,多云~晴,北风2级,66 良
2024-05-08 周三,24°,12°,晴,东北风3级,47 优
2024-05-09 周四,25°,15°,雾~晴,东南风3级,53 良
2024-05-10 周五,30°,21°,晴~中雨,东南风3级,67 良
2024-05-11 周六,24°,15°,小雨~阴,西北风1级,55 良
2024-05-12 周日,25°,13°,多云~晴,东北风2级,111 轻度
2024-05-13 周一,28°,14°,晴,西南风1级,85 良
2024-05-14 周二,29°,15°,晴,东南风3级,96 良
2024-05-15 周三,24°,12°,晴,东北风4级,61 良
2024-05-16 周四,29°,15°,晴,西南风3级,49 优
2024-05-17 周五,32°,21°,阴~晴,南风3级,71 良
2024-05-18 周六,33°,20°,晴~多云,东南风3级,87 良
2024-05-19 周日,30°,20°,阴,东南风3级,59 良
2024-05-20 周一,29°,21°,阴~多云,东风3级,58 良
2024-05-21 周二,27°,20°,阴,东风3级,43 优
2024-05-22 周三,28°,20°,阴~多云,东南风3级,44 优
2024-05-23 周四,31°,20°,多云~晴,东南风3级,77 良
2024-05-24 周五,33°,22°,多云,东风3级,71 良
2024-05-25 周六,31°,23°,阴~多云,东南风3级,62 良
2024-05-26 周日,32°,20°,阴~中雨,西北风2级,55 良
2024-05-27 周一,20°,12°,小雨~晴,东风3级,34 优
2024-05-28 周二,29°,15°,晴~多云,东北风2级,42 优
2024-05-29 周三,29°,19°,阴,东南风4级,58 良
2024-05-30 周四,21°,17°,中雨~阴,东风2级,42 优
2024-05-31 周五,29°,19°,雾~多云,东北风1级,63 良
