日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,18°,5°,多云,西北风1级,96 良
2024-11-02 周六,18°,5°,多云~小雨,西南风1级,76 良
2024-11-03 周日,17°,0°,阴~晴,西北风3级,55 良
2024-11-04 周一,9°,-4°,多云~晴,西北风2级,37 优
2024-11-05 周二,12°,-5°,晴,西北风2级,48 优
2024-11-06 周三,14°,-2°,晴,西北风1级,46 优
2024-11-07 周四,14°,-1°,晴~多云,西北风1级,68 良
2024-11-08 周五,13°,1°,多云,东风1级,96 良
2024-11-09 周六,14°,6°,多云~阴,西南风1级,103 轻度
2024-11-10 周日,17°,2°,多云~晴,西北风1级,88 良
2024-11-11 周一,12°,0°,阴~多云,西风2级,62 良
2024-11-12 周二,11°,4°,雾~阴,西北风1级,59 良
2024-11-13 周三,7°,5°,小雨,东南风1级,56 良
2024-11-14 周四,12°,2°,雾~多云,西北风1级,61 良
2024-11-15 周五,7°,0°,雾~阴,南风1级,46 优
2024-11-16 周六,10°,-4°,阴~晴,西北风3级,47 优
2024-11-17 周日,6°,-7°,晴,西北风3级,39 优
2024-11-18 周一,6°,-5°,晴~多云,东南风1级,42 优
2024-11-19 周二,8°,-4°,多云~晴,西风1级,61 良
2024-11-20 周三,11°,-2°,晴,西北风2级,64 良
2024-11-21 周四,10°,-4°,晴,西北风3级,42 优
2024-11-22 周五,9°,-1°,阴~多云,东南风1级,41 优
2024-11-23 周六,5°,-2°,阴~多云,东南风1级,56 良
2024-11-24 周日,5°,-3°,阴~中雪,西南风微风,72 良
2024-11-25 周一,3°,-8°,阴~多云,西北风3级,57 良
2024-11-26 周二,-3°,-11°,阴~多云,西北风4级,24 优
2024-11-27 周三,-1°,-6°,多云,西北风5级,28 优
2024-11-28 周四,2°,-4°,多云,西北风4级,29 优
2024-11-29 周五,9°,-2°,阴~晴,西北风3级,38 优
2024-11-30 周六,12°,-2°,晴,西北风1级,51 良
