日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,25°,15°,阴~晴,西南风3级,44 优
2024-06-02 周日,25°,14°,多云,南风2级,46 优
2024-06-03 周一,19°,10°,小雨~多云,北风1级,44 优
2024-06-04 周二,19°,12°,阴~阵雨,南风1级,48 优
2024-06-05 周三,23°,12°,多云~阴,南风2级,43 优
2024-06-06 周四,23°,13°,阴~多云,南风2级,45 优
2024-06-07 周五,23°,15°,晴,西南风2级,42 优
2024-06-08 周六,27°,13°,晴,南风2级,39 优
2024-06-09 周日,27°,16°,阴~晴,南风2级,39 优
2024-06-10 周一,25°,15°,阴~晴,南风2级,36 优
2024-06-11 周二,26°,16°,多云~阵雨,南风2级,37 优
2024-06-12 周三,21°,15°,小雨~雷阵雨,南风1级,37 优
2024-06-13 周四,20°,15°,小雨~阴,西南风1级,38 优
2024-06-14 周五,21°,14°,阴~雷阵雨,南风1级,31 优
2024-06-15 周六,24°,15°,多云,南风2级,34 优
2024-06-16 周日,26°,15°,多云~阵雨,东南风2级,35 优
2024-06-17 周一,23°,14°,阴~雷阵雨,南风1级,37 优
2024-06-18 周二,23°,14°,阴~雷阵雨,西南风1级,36 优
2024-06-19 周三,21°,13°,阴~雷阵雨,西南风2级,39 优
2024-06-20 周四,24°,14°,小雨~阵雨,南风2级,39 优
2024-06-21 周五,24°,14°,晴~阵雨,南风2级,36 优
2024-06-22 周六,26°,14°,晴~多云,南风2级,36 优
2024-06-23 周日,26°,13°,晴~雷阵雨,东南风1级,30 优
2024-06-24 周一,25°,13°,多云~阵雨,西南风1级,40 优
2024-06-25 周二,23°,12°,阴~小雨,西南风2级,41 优
2024-06-26 周三,23°,12°,阴~小雨,南风2级,36 优
2024-06-27 周四,24°,12°,多云~中雨,西南风2级,34 优
2024-06-28 周五,19°,11°,阴~小雨,东南风1级,29 优
2024-06-29 周六,21°,12°,阴~小雨,南风1级,39 优
2024-06-30 周日,21°,12°,阴~阵雨,西南风2级,39 优
