日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,36°,26°,多云~晴,东南风1级,38 优
2024-09-02 周一,36°,26°,阴~多云,东南风2级,57 良
2024-09-03 周二,36°,27°,阴~多云,东南风2级,54 良
2024-09-04 周三,34°,26°,阴,东风2级,38 优
2024-09-05 周四,33°,25°,小雨~阵雨,东风4级,36 优
2024-09-06 周五,30°,25°,中雨,东风4级,20 优
2024-09-07 周六,31°,25°,阴~多云,东风2级,23 优
2024-09-08 周日,31°,26°,阴~多云,东南风2级,24 优
2024-09-09 周一,33°,25°,中雨~多云,东南风2级,29 优
2024-09-10 周二,34°,25°,阴~多云,东南风1级,35 优
2024-09-11 周三,35°,26°,多云,南风1级,52 良
2024-09-12 周四,34°,26°,雾~多云,东南风2级,59 良
2024-09-13 周五,34°,25°,阴~多云,东风1级,48 优
2024-09-14 周六,33°,25°,阴~多云,东北风1级,38 优
2024-09-15 周日,32°,25°,阴,东风1级,33 优
2024-09-16 周一,34°,26°,阴~多云,东南风1级,34 优
2024-09-17 周二,34°,25°,阴~多云,东北风2级,42 优
2024-09-18 周三,35°,26°,阴~多云,东北风2级,43 优
2024-09-19 周四,34°,26°,阴~多云,东南风1级,43 优
2024-09-20 周五,32°,25°,阴~多云,东北风2级,30 优
2024-09-21 周六,32°,25°,阴~阵雨,东南风3级,20 优
2024-09-22 周日,29°,24°,阴~暴雨,西北风1级,23 优
2024-09-23 周一,29°,24°,小雨~暴雨,西北风1级,18 优
2024-09-24 周二,30°,25°,中雨~多云,南风1级,18 优
2024-09-25 周三,33°,25°,小雨~多云,西南风1级,26 优
2024-09-26 周四,35°,25°,阴~多云,南风1级,35 优
2024-09-27 周五,34°,25°,阴~多云,西风1级,36 优
2024-09-28 周六,28°,25°,阴~多云,东南风2级,30 优
2024-09-29 周日,34°,26°,晴,东南风1级,36 优
2024-09-30 周一,35°,26°,多云,西北风2级,31 优
