日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,30°,21°,小雨~阵雨,东南风1级,43 优
2024-07-02 周二,31°,21°,小雨~阵雨,东南风1级,41 优
2024-07-03 周三,32°,22°,阴~阵雨,东南风2级,35 优
2024-07-04 周四,28°,21°,小雨~阵雨,东南风1级,31 优
2024-07-05 周五,30°,20°,多云~阵雨,东南风2级,32 优
2024-07-06 周六,33°,23°,阴~阵雨,东南风1级,36 优
2024-07-07 周日,35°,22°,阴,东南风2级,27 优
2024-07-08 周一,33°,23°,阴~阵雨,东南风1级,25 优
2024-07-09 周二,30°,22°,阴~阵雨,南风1级,27 优
2024-07-10 周三,31°,23°,阴~阵雨,西北风1级,35 优
2024-07-11 周四,31°,23°,小雨~阵雨,东北风1级,28 优
2024-07-12 周五,28°,22°,雾~阵雨,西北风1级,35 优
2024-07-13 周六,33°,22°,阴~阵雨,东北风1级,31 优
2024-07-14 周日,28°,23°,小雨~阵雨,东风1级,41 优
2024-07-15 周一,31°,22°,小雨~阵雨,东风1级,36 优
2024-07-16 周二,30°,22°,雾~中雨,东南风1级,41 优
2024-07-17 周三,30°,23°,阴~大雨,西北风1级,44 优
2024-07-18 周四,32°,21°,阴~阵雨,西北风1级,39 优
2024-07-19 周五,35°,21°,阴~阵雨,西北风1级,37 优
2024-07-20 周六,33°,21°,阴~阵雨,北风1级,32 优
2024-07-21 周日,28°,22°,小雨~阵雨,西南风1级,48 优
2024-07-22 周一,32°,23°,多云~阵雨,东南风1级,49 优
2024-07-23 周二,34°,23°,多云~阵雨,东风1级,54 良
2024-07-24 周三,32°,24°,阴~阵雨,东北风1级,48 优
2024-07-25 周四,31°,22°,阴~阵雨,东北风1级,36 优
2024-07-26 周五,34°,24°,阴~阵雨,东南风1级,46 优
2024-07-27 周六,35°,24°,阴~中雨,东北风1级,54 良
2024-07-28 周日,32°,23°,多云~阵雨,东北风1级,53 良
2024-07-29 周一,30°,22°,小雨~大雨,东南风1级,33 优
2024-07-30 周二,27°,20°,阴,西北风1级,25 优
2024-07-31 周三,32°,22°,阴~晴,东南风1级,48 优
