日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,30°,20°,阴~多云,东南风1级,28 优
2024-06-02 周日,31°,21°,阴,南风3级,25 优
2024-06-03 周一,30°,20°,阴~小雨,南风2级,24 优
2024-06-04 周二,32°,20°,阴~中雨,东南风2级,27 优
2024-06-05 周三,21°,19°,小雨,东北风2级,18 优
2024-06-06 周四,25°,20°,阴~多云,东南风2级,16 优
2024-06-07 周五,27°,20°,阴~小雨,东南风3级,14 优
2024-06-08 周六,27°,20°,中雨,东南风2级,14 优
2024-06-09 周日,27°,19°,中雨,东北风2级,15 优
2024-06-10 周一,25°,21°,小雨~阴,东南风2级,17 优
2024-06-11 周二,30°,21°,阴,南风2级,18 优
2024-06-12 周三,29°,20°,阴,西南风2级,20 优
2024-06-13 周四,29°,21°,阴~阵雨,西南风2级,18 优
2024-06-14 周五,31°,20°,阴~中雨,西南风1级,17 优
2024-06-15 周六,23°,20°,中雨~小雨,东北风1级,19 优
2024-06-16 周日,28°,21°,小雨,南风3级,17 优
2024-06-17 周一,30°,21°,中雨~阵雨,南风2级,26 优
2024-06-18 周二,29°,21°,阴~小雨,南风3级,30 优
2024-06-19 周三,30°,21°,多云~小雨,西南风3级,30 优
2024-06-20 周四,31°,21°,阴,西南风3级,29 优
2024-06-21 周五,30°,22°,阴~小雨,南风3级,22 优
2024-06-22 周六,29°,22°,阵雨~小雨,南风3级,24 优
2024-06-23 周日,29°,21°,小雨,东南风3级,24 优
2024-06-24 周一,30°,20°,小雨~中雨,东北风2级,20 优
2024-06-25 周二,23°,19°,小雨,西北风2级,26 优
2024-06-26 周三,24°,20°,小雨,东南风2级,16 优
2024-06-27 周四,25°,21°,小雨,南风3级,13 优
2024-06-28 周五,27°,21°,小雨,南风3级,17 优
2024-06-29 周六,30°,21°,阴~小雨,西南风3级,15 优
2024-06-30 周日,30°,21°,多云~阴,西南风2级,16 优
