日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,34°,25°,阴~晴,西南风3级,37 优
2024-08-02 周五,34°,26°,阴~多云,东南风2级,32 优
2024-08-03 周六,35°,26°,阴~小雨,南风3级,32 优
2024-08-04 周日,35°,26°,阴~小雨,西南风3级,29 优
2024-08-05 周一,34°,23°,阴~中雨,东风2级,36 优
2024-08-06 周二,33°,24°,阴~小雨,东南风2级,30 优
2024-08-07 周三,33°,24°,阴~大雨,东北风2级,28 优
2024-08-08 周四,30°,24°,阴~大雨,东北风3级,43 优
2024-08-09 周五,33°,25°,中雨~多云,南风2级,38 优
2024-08-10 周六,33°,25°,多云,西南风3级,80 良
2024-08-11 周日,36°,22°,晴,西风2级,54 良
2024-08-12 周一,34°,24°,晴,东风1级,47 优
2024-08-13 周二,33°,24°,多云~晴,东北风3级,45 优
2024-08-14 周三,31°,24°,多云,东北风3级,44 优
2024-08-15 周四,34°,24°,阴,东北风2级,48 优
2024-08-16 周五,34°,24°,多云~阴,东北风2级,52 良
2024-08-17 周六,33°,23°,雾~中雨,东风2级,53 良
2024-08-18 周日,31°,23°,雾~小雨,西南风1级,39 优
2024-08-19 周一,29°,22°,小雨~多云,东风2级,37 优
2024-08-20 周二,31°,22°,雾~多云,东风1级,37 优
2024-08-21 周三,32°,23°,多云~晴,西南风1级,47 优
2024-08-22 周四,34°,24°,雾~晴,西南风2级,63 良
2024-08-23 周五,35°,25°,雾~晴,东南风2级,56 良
2024-08-24 周六,35°,26°,多云~阴,东风2级,59 良
2024-08-25 周日,34°,24°,多云~中雨,东南风2级,53 良
2024-08-26 周一,35°,24°,雾~多云,西北风1级,42 优
2024-08-27 周二,30°,21°,多云~晴,东北风4级,38 优
2024-08-28 周三,30°,22°,多云~晴,东北风3级,39 优
2024-08-29 周四,32°,23°,阴~晴,东南风1级,60 良
2024-08-30 周五,35°,25°,雾~晴,西南风2级,62 良
2024-08-31 周六,32°,25°,中雨~阴,东南风2级,49 优
