日期,最高温,最低温,天气,风力风向,空气质量指数
2024-06-01 周六,21°,20°,中雨~小雨,东北风3级,28 优
2024-06-02 周日,26°,20°,阴~多云,东北风2级,32 优
2024-06-03 周一,23°,18°,阴~小雨,东北风2级,29 优
2024-06-04 周二,21°,18°,小雨,东北风1级,33 优
2024-06-05 周三,22°,17°,小雨~阴,东北风1级,32 优
2024-06-06 周四,24°,19°,阴~多云,东北风2级,33 优
2024-06-07 周五,28°,22°,阴~多云,东北风1级,44 优
2024-06-08 周六,29°,22°,阴~阵雨,东北风2级,44 优
2024-06-09 周日,27°,23°,阴~小雨,东北风2级,42 优
2024-06-10 周一,24°,21°,暴雨~中雨,西风1级,28 优
2024-06-11 周二,28°,23°,小雨~中雨,西南风2级,21 优
2024-06-12 周三,27°,22°,暴雨~雷阵雨,西南风1级,25 优
2024-06-13 周四,27°,24°,小雨~中雨,东南风1级,31 优
2024-06-14 周五,29°,24°,中雨~阵雨,西南风1级,23 优
2024-06-15 周六,28°,24°,阴~阵雨,东南风2级,24 优
2024-06-16 周日,28°,23°,阵雨~中雨,东北风2级,30 优
2024-06-17 周一,23°,22°,中雨~大雨,东北风2级,26 优
2024-06-18 周二,25°,23°,小雨~中雨,东南风1级,32 优
2024-06-19 周三,27°,25°,中雨~小雨,南风2级,47 优
2024-06-20 周四,30°,26°,阴~多云,西南风2级,37 优
2024-06-21 周五,34°,27°,多云,南风3级,40 优
2024-06-22 周六,33°,27°,多云,西南风2级,41 优
2024-06-23 周日,33°,25°,大雨~雷阵雨,西南风2级,49 优
2024-06-24 周一,26°,20°,中雨~大雨,东北风3级,32 优
2024-06-25 周二,20°,19°,暴雨~中雨,东北风2级,27 优
2024-06-26 周三,22°,21°,中雨~小雨,北风1级,24 优
2024-06-27 周四,25°,23°,小雨,西风1级,32 优
2024-06-28 周五,31°,26°,雾~多云,西南风2级,43 优
2024-06-29 周六,30°,26°,阴~多云,西南风3级,42 优
2024-06-30 周日,30°,26°,阴~中雨,西南风2级,45 优
