日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,38°,30°,阴~晴,西南风2级,32 优
2024-08-02 周五,39°,30°,阴~晴,西南风2级,26 优
2024-08-03 周六,40°,30°,阴~晴,南风2级,46 优
2024-08-04 周日,41°,29°,中雨~晴,南风2级,46 优
2024-08-05 周一,39°,29°,阴~多云,南风2级,43 优
2024-08-06 周二,38°,29°,阴~晴,东南风2级,53 良
2024-08-07 周三,38°,29°,多云,东南风2级,50 优
2024-08-08 周四,38°,29°,小雨~晴,南风2级,44 优
2024-08-09 周五,40°,29°,阴~多云,东南风1级,62 良
2024-08-10 周六,39°,30°,阴,西南风3级,60 良
2024-08-11 周日,40°,30°,多云,西南风2级,52 良
2024-08-12 周一,37°,26°,暴雨~多云,西南风2级,41 优
2024-08-13 周二,34°,27°,大雨~阴,东风2级,43 优
2024-08-14 周三,34°,26°,阴~多云,东北风3级,40 优
2024-08-15 周四,33°,26°,多云~晴,东北风3级,27 优
2024-08-16 周五,34°,26°,雾~晴,东北风3级,37 优
2024-08-17 周六,35°,26°,雾~多云,东北风2级,35 优
2024-08-18 周日,35°,27°,阴~多云,东风2级,31 优
2024-08-19 周一,34°,27°,小雨~阴,东南风3级,22 优
2024-08-20 周二,35°,26°,阴~小雨,南风2级,24 优
2024-08-21 周三,33°,26°,小雨~多云,西北风2级,30 优
2024-08-22 周四,35°,26°,阴~晴,西南风2级,37 优
2024-08-23 周五,36°,27°,小雨~晴,南风2级,54 良
2024-08-24 周六,37°,26°,晴,东风2级,48 优
2024-08-25 周日,35°,27°,阴~多云,东北风2级,45 优
2024-08-26 周一,36°,27°,阴,东南风2级,36 优
2024-08-27 周二,33°,26°,小雨,西北风3级,31 优
2024-08-28 周三,32°,26°,雾~晴,东北风2级,36 优
2024-08-29 周四,35°,26°,阴~晴,东北风3级,27 优
2024-08-30 周五,35°,26°,阴~晴,东北风1级,37 优
2024-08-31 周六,35°,27°,多云~晴,东南风1级,54 良
