日期,最高温,最低温,天气,风力风向,空气质量指数
2024-03-01 周五,11°,-6°,多云~晴,西南风1级,39 优
2024-03-02 周六,12°,-4°,晴~多云,西风1级,29 优
2024-03-03 周日,9°,-2°,多云,西南风2级,40 优
2024-03-04 周一,10°,-5°,晴~多云,西南风4级,37 优
2024-03-05 周二,9°,-5°,多云~晴,西风2级,35 优
2024-03-06 周三,10°,-5°,阴~多云,西风3级,30 优
2024-03-07 周四,9°,-6°,多云~晴,西南风3级,35 优
2024-03-08 周五,9°,-5°,晴,西南风2级,28 优
2024-03-09 周六,10°,-6°,晴,西风2级,30 优
2024-03-10 周日,12°,-4°,晴,西南风1级,27 优
2024-03-11 周一,14°,-4°,多云~晴,西南风2级,31 优
2024-03-12 周二,12°,-3°,晴,西南风1级,34 优
2024-03-13 周三,12°,-3°,晴,西风2级,40 优
2024-03-14 周四,10°,-3°,晴,西南风2级,37 优
2024-03-15 周五,11°,-4°,晴,西南风2级,33 优
2024-03-16 周六,9°,-3°,晴~多云,西南风3级,33 优
2024-03-17 周日,8°,-5°,晴,西风2级,32 优
2024-03-18 周一,10°,-3°,阴~多云,西南风1级,31 优
2024-03-19 周二,8°,-4°,多云,西南风1级,34 优
2024-03-20 周三,6°,-4°,阴~小雪,东南风2级,40 优
2024-03-21 周四,9°,-4°,阴~多云,东南风1级,33 优
2024-03-22 周五,13°,0°,晴~多云,东南风1级,33 优
2024-03-23 周六,11°,-3°,阴~多云,南风2级,38 优
2024-03-24 周日,12°,0°,晴~阴,西风1级,38 优
2024-03-25 周一,9°,1°,阴~阵雪,西南风2级,32 优
2024-03-26 周二,7°,-2°,阴~晴,西风1级,32 优
2024-03-27 周三,12°,-1°,多云,西南风1级,29 优
2024-03-28 周四,13°,1°,阴,东北风1级,29 优
2024-03-29 周五,16°,1°,阴~晴,西风2级,34 优
2024-03-30 周六,16°,3°,阴~多云,西南风2级,35 优
2024-03-31 周日,13°,2°,阴~晴,西南风2级,35 优
