日期,最高温,最低温,天气,风力风向,空气质量指数
2024-09-01 周日,32°,24°,阴~小雨,西南风2级,56 良
2024-09-02 周一,27°,20°,阴~多云,东北风4级,26 优
2024-09-03 周二,28°,21°,晴~多云,东北风2级,43 优
2024-09-04 周三,27°,24°,晴~多云,南风2级,44 优
2024-09-05 周四,31°,22°,雾~阴,北风3级,33 优
2024-09-06 周五,28°,19°,阴~多云,东北风3级,37 优
2024-09-07 周六,28°,22°,晴,东风2级,46 优
2024-09-08 周日,28°,23°,晴,东南风2级,39 优
2024-09-09 周一,28°,24°,晴,东南风2级,33 优
2024-09-10 周二,29°,24°,阴,东南风2级,29 优
2024-09-11 周三,29°,23°,雾~中雨,东北风4级,36 优
2024-09-12 周四,27°,24°,小雨~中雨,东北风4级,26 优
2024-09-13 周五,30°,25°,雾~多云,东北风2级,32 优
2024-09-14 周六,29°,20°,阴~晴,北风4级,37 优
2024-09-15 周日,27°,21°,多云~晴,东北风4级,29 优
2024-09-16 周一,29°,25°,阴~小雨,东北风3级,40 优
2024-09-17 周二,29°,26°,雾~小雨,东北风4级,25 优
2024-09-18 周三,29°,26°,阴,东南风3级,16 优
2024-09-19 周四,30°,27°,雾~小雨,东北风3级,20 优
2024-09-20 周五,29°,20°,阴,东北风4级,19 优
2024-09-21 周六,23°,17°,阴~晴,北风6级,27 优
2024-09-22 周日,24°,15°,晴,北风5级,29 优
2024-09-23 周一,24°,16°,多云,东北风2级,35 优
2024-09-24 周二,25°,19°,阴~晴,东北风2级,36 优
2024-09-25 周三,27°,19°,阴~晴,东南风1级,41 优
2024-09-26 周四,27°,19°,多云,东北风2级,74 良
2024-09-27 周五,26°,21°,阴~多云,东风3级,41 优
2024-09-28 周六,26°,23°,阴~多云,东风3级,39 优
2024-09-29 周日,27°,24°,多云~小雨,东南风3级,38 优
2024-09-30 周一,27°,16°,小雨,东南风1级,29 优
