日期,最高温,最低温,天气,风力风向,空气质量指数
2024-01-01 周一,17°,5°,晴,西南风3级,34 优
2024-01-02 周二,18°,4°,多云~小雨,西南风3级,27 优
2024-01-03 周三,13°,4°,小雨~多云,东南风2级,61 良
2024-01-04 周四,16°,5°,晴~多云,西南风3级,39 优
2024-01-05 周五,16°,5°,晴,西南风3级,24 优
2024-01-06 周六,17°,5°,晴~中雨,西南风2级,46 优
2024-01-07 周日,16°,6°,中雨,西南风3级,38 优
2024-01-08 周一,17°,3°,晴,西南风3级,31 优
2024-01-09 周二,16°,3°,晴,西南风2级,35 优
2024-01-10 周三,17°,4°,多云,西南风2级,51 良
2024-01-11 周四,19°,5°,雾~多云,西南风2级,48 优
2024-01-12 周五,19°,5°,多云,西南风2级,43 优
2024-01-13 周六,18°,5°,晴,西南风2级,53 良
2024-01-14 周日,19°,6°,晴~多云,西南风2级,51 良
2024-01-15 周一,19°,6°,多云~阵雨,西南风3级,42 优
2024-01-16 周二,16°,7°,小雨~阵雨,西南风3级,25 优
2024-01-17 周三,16°,6°,阴~多云,西南风3级,22 优
2024-01-18 周四,16°,5°,晴,西南风4级,23 优
2024-01-19 周五,16°,6°,阴~晴,西南风4级,26 优
2024-01-20 周六,16°,5°,晴,西南风2级,39 优
2024-01-21 周日,15°,1°,阴~小雨,西南风3级,32 优
2024-01-22 周一,4°,1°,阴~雨夹雪,东北风3级,28 优
2024-01-23 周二,9°,5°,阴~多云,南风2级,45 优
2024-01-24 周三,14°,7°,阴,南风2级,40 优
2024-01-25 周四,10°,7°,阴~阵雨,西南风2级,28 优
2024-01-26 周五,11°,7°,小雨,西南风3级,24 优
2024-01-27 周六,15°,6°,雾~小雨,西南风3级,30 优
2024-01-28 周日,15°,6°,阴~阵雨,南风2级,30 优
2024-01-29 周一,15°,6°,雾~阵雨,西南风3级,30 优
2024-01-30 周二,17°,5°,阴~晴,西南风3级,30 优
2024-01-31 周三,17°,4°,多云~晴,西南风4级,27 优
