日期,最高温,最低温,天气,风力风向,空气质量指数
2024-08-01 周四,34°,21°,阴~晴,东北风2级,36 优
2024-08-02 周五,37°,23°,晴~多云,东北风1级,46 优
2024-08-03 周六,37°,24°,阴~晴,西北风2级,44 优
2024-08-04 周日,36°,23°,多云,北风2级,50 优
2024-08-05 周一,39°,23°,多云,东南风2级,40 优
2024-08-06 周二,31°,21°,阴~多云,东北风2级,62 良
2024-08-07 周三,27°,20°,阴~多云,西北风3级,39 优
2024-08-08 周四,34°,21°,多云~晴,西北风3级,32 优
2024-08-09 周五,37°,26°,多云~晴,南风1级,42 优
2024-08-10 周六,39°,25°,多云,东南风2级,61 良
2024-08-11 周日,32°,20°,阴~小雨,西北风2级,47 优
2024-08-12 周一,28°,19°,阴~多云,西北风2级,32 优
2024-08-13 周二,31°,19°,阴~晴,东南风1级,46 优
2024-08-14 周三,34°,20°,多云~晴,北风1级,43 优
2024-08-15 周四,34°,20°,阴~晴,东风2级,46 优
2024-08-16 周五,36°,21°,阴~晴,东南风2级,60 良
2024-08-17 周六,35°,23°,多云,北风1级,56 良
2024-08-18 周日,33°,19°,多云~小雨,西北风3级,65 良
2024-08-19 周一,20°,17°,小雨~多云,西北风3级,27 优
2024-08-20 周二,25°,16°,阴~多云,东北风2级,33 优
2024-08-21 周三,29°,18°,阴~晴,东北风2级,47 优
2024-08-22 周四,32°,18°,多云~晴,东北风1级,49 优
2024-08-23 周五,31°,21°,阴~晴,东北风2级,58 良
2024-08-24 周六,33°,21°,多云~晴,东风3级,48 优
2024-08-25 周日,28°,18°,多云,西北风3级,49 优
2024-08-26 周一,29°,17°,多云,北风2级,46 优
2024-08-27 周二,29°,18°,多云~小雨,东北风2级,49 优
2024-08-28 周三,29°,20°,阴~小雨,东北风2级,39 优
2024-08-29 周四,25°,17°,阴~中雨,西北风3级,42 优
2024-08-30 周五,25°,14°,阴~晴,西风2级,24 优
2024-08-31 周六,27°,13°,阴~晴,东北风2级,37 优
