日期,最高温,最低温,天气,风力风向,空气质量指数
2024-11-01 周五,17°,0°,晴,西北风1级,19 优
2024-11-02 周六,18°,-1°,晴~多云,西南风2级,21 优
2024-11-03 周日,20°,0°,晴~雨夹雪,南风2级,21 优
2024-11-04 周一,13°,1°,多云~雨夹雪,北风1级,22 优
2024-11-05 周二,13°,-1°,阴~雨夹雪,东南风2级,19 优
2024-11-06 周三,14°,0°,阴~多云,西北风1级,18 优
2024-11-07 周四,12°,-1°,多云,北风1级,21 优
2024-11-08 周五,15°,-4°,晴,西南风1级,25 优
2024-11-09 周六,18°,-1°,晴,东南风2级,22 优
2024-11-10 周日,19°,1°,晴,南风2级,23 优
2024-11-11 周一,18°,-1°,晴~多云,南风2级,24 优
2024-11-12 周二,18°,-2°,晴~阴,南风3级,25 优
2024-11-13 周三,15°,0°,晴~多云,西南风2级,24 优
2024-11-14 周四,17°,-3°,晴,西南风2级,24 优
2024-11-15 周五,20°,-4°,晴,西南风2级,25 优
2024-11-16 周六,22°,-2°,晴,南风2级,26 优
2024-11-17 周日,18°,-3°,晴~阵雨,西南风2级,23 优
2024-11-18 周一,14°,-2°,晴~多云,南风2级,21 优
2024-11-19 周二,14°,-3°,晴~阴,南风2级,24 优
2024-11-20 周三,10°,-4°,多云,西南风2级,21 优
2024-11-21 周四,8°,-5°,阴~多云,西风1级,24 优
2024-11-22 周五,8°,-6°,阴~多云,西南风2级,19 优
2024-11-23 周六,11°,-5°,阴,西南风2级,21 优
2024-11-24 周日,11°,-6°,阴~多云,西南风2级,22 优
2024-11-25 周一,7°,-6°,多云,西北风1级,35 优
2024-11-26 周二,7°,-6°,阴,南风1级,22 优
2024-11-27 周三,10°,-5°,阴,西南风1级,21 优
2024-11-28 周四,10°,-6°,阴~多云,南风1级,20 优
2024-11-29 周五,10°,-10°,晴,西风3级,22 优
2024-11-30 周六,10°,-10°,晴,西南风1级,22 优
