日期,最高温,最低温,天气,风力风向,空气质量指数
2024-07-01 周一,20°,14°,中雨~多云,东北风2级,27 优
2024-07-02 周二,27°,17°,阴~小雨,东南风1级,30 优
2024-07-03 周三,28°,19°,阴~小雨,南风2级,28 优
2024-07-04 周四,25°,19°,阴~小雨,西南风2级,21 优
2024-07-05 周五,26°,17°,小雨~多云,西南风2级,20 优
2024-07-06 周六,28°,19°,阴,西南风2级,22 优
2024-07-07 周日,29°,20°,阴,西南风3级,22 优
2024-07-08 周一,27°,20°,阴~小雨,西南风2级,23 优
2024-07-09 周二,26°,19°,阴~小雨,东南风1级,23 优
2024-07-10 周三,27°,18°,大雨~小雨,东南风1级,25 优
2024-07-11 周四,27°,18°,小雨,东北风1级,21 优
2024-07-12 周五,27°,18°,阴~阵雨,东北风1级,23 优
2024-07-13 周六,24°,19°,阴~中雨,南风1级,29 优
2024-07-14 周日,23°,19°,中雨,南风2级,29 优
2024-07-15 周一,27°,19°,小雨~阵雨,西南风3级,26 优
2024-07-16 周二,27°,19°,阴~多云,西南风3级,28 优
2024-07-17 周三,26°,20°,阴,西南风3级,28 优
2024-07-18 周四,28°,19°,阴,西南风2级,33 优
2024-07-19 周五,29°,19°,多云~阴,西南风3级,29 优
2024-07-20 周六,27°,19°,多云~小雨,西南风2级,28 优
2024-07-21 周日,29°,18°,多云,西南风2级,25 优
2024-07-22 周一,30°,18°,多云,西南风2级,23 优
2024-07-23 周二,30°,19°,多云~阵雨,西南风2级,33 优
2024-07-24 周三,29°,18°,多云~小雨,东风1级,37 优
2024-07-25 周四,28°,18°,多云~小雨,东北风2级,31 优
2024-07-26 周五,29°,19°,雾~小雨,东北风2级,35 优
2024-07-27 周六,28°,19°,阴~中雨,东北风2级,36 优
2024-07-28 周日,24°,16°,中雨~小雨,东北风2级,22 优
2024-07-29 周一,25°,17°,阴~小雨,东北风2级,23 优
2024-07-30 周二,23°,16°,小雨~多云,东北风2级,26 优
2024-07-31 周三,26°,14°,阴~晴,东北风2级,37 优
